label,T
1,2
2,956
3,2173
4,3834
5,5706
6,8779
7,9918
8,10690
9,11577
10,14003
11,16422
12,17928
13,19605
14,20498
15,22868
16,23736
17,24476
18,25579
19,27473
20,29722
21,31007
22,31848
23,33583
24,35203
25,36804
26,38546
27,39891
28,40791
29,41844
30,43130
31,44214
32,45579
33,46421
34,47787
1,49323
2,50656
3,52090
4,53375
5,54626
6,55973
7,57774
8,59686
9,61233
10,62671
11,62919
12,63685
13,64867
14,67467
15,69116
16,70379
17,71984
18,73627
19,74360
20,75572
21,76578
22,78491
23,80396
24,81444
25,83687
26,85712
27,87575
28,88543
29,90010
30,91443
31,92739
32,93718
33,95431
34,97077
35,99127
1,100963
2,102375
3,103445
4,105647
5,107601
6,109601
7,110808
8,112321
9,114076
10,115164
11,116687
12,117850
13,119377
14,121881
15,123573
16,125677
17,127085
18,128948
19,130466
20,131726
21,133000
22,135299
23,137305
24,138749
25,140284
26,141540
27,143395
28,145688
29,147482
30,149313
31,150716
32,152276
1,153427
2,154421
3,155283
4,157301
5,158608
6,160492
7,161846
8,163390
9,164858
10,167138
11,168574
12,169221
13,170865
14,172253
15,173842
16,175202
17,176491
18,179251
19,180805
20,183027
21,183763
22,184927
23,186801
1,187957
2,190452
3,192336
4,193391
5,195592
6,196529
7,197238
8,199158
9,200443
10,201620
11,202631
12,204584
13,205336
14,206383
15,208125
16,209641
17,210823
18,212554
19,213872
20,215224
21,218032
22,219477
23,220996
24,222054
25,223671
26,224696
27,225800
28,227504
29,228912
30,230859
31,232119
32,233685
33,234676
1,237362
2,238356
3,240257
4,241622
5,242763
6,243696
7,245357
8,247256
9,248734
10,250136
11,252032
12,254433
13,256109
14,256822
15,258309
16,259906
17,261823
18,263467
19,264895
20,266645
21,268495
22,270170
23,272936
24,274617
25,276073
26,277205
27,278806
28,279663
29,281313
30,282894
31,284687
32,285946
1,287454
2,288842
3,290441
4,292145
5,293411
6,294211
7,294977
8,296265
9,297380
10,298528
11,300337
12,301350
13,302551
14,303865
15,306033
16,307085
17,308047
18,309648
19,310710
20,311732
21,313383
22,315257
23,316155
24,317465
25,319107
26,320993
27,322609
28,323663
29,325133
30,326128
31,327415
1,329164
2,330544
3,331697
4,332572
5,333398
6,334229
7,335186
8,336008
9,336842
10,337602
11,338824
12,339953
13,341369
14,342437
15,344133
16,345553
17,346797
18,347635
19,348723
