i,word,power,danger
0,fury,0.088,0.583
0,awful,-0.118,0.513
1,hate,-0.140,0.544
1,scoundrel,-0.151,0.455
2,horrible,-0.117,0.552
2,vulgar,-0.095,0.520
3,good,0.180,-0.406
3,home,0.099,-0.413
4,short,-0.461,0.055
4,gone,-0.457,-0.049
5,broken,-0.368,0.308
5,alone,-0.448,-0.121
6,dreadful,-0.177,0.486
6,love,0.383,-0.341
7,excellent,0.543,-0.264
7,idle,-0.600,-0.014
8,honorable,0.427,-0.381
8,youth,0.440,-0.232
9,powerful,0.695,-0.016
9,spite,-0.294,0.365
10,nature,0.130,-0.470
10,jealousy,-0.055,0.450
11,worse,-0.320,0.446
11,radiant,0.507,-0.119
12,respect,0.325,-0.405
12,president,0.489,-0.024
13,fortune,0.592,-0.133
13,perfect,0.493,-0.351
14,freedom,0.548,-0.292
14,hit,0.203,0.496
15,easy,-0.056,-0.480
15,guilty,-0.160,0.444
16,delighted,0.430,-0.196
16,intruder,-0.189,0.414
17,persons,0.153,-0.400
17,lunch,0.177,-0.335
18,strongly,0.495,0.141
18,gone,-0.457,-0.049
19,mocking,-0.163,0.474
19,recognized,0.374,-0.288
20,irritable,-0.005,0.591
20,familiar,0.204,-0.406
21,disagreeable,-0.393,0.416
21,learn,0.472,-0.128
22,rest,-0.101,-0.532
22,youth,0.440,-0.232
23,life,0.497,-0.209
23,spite,-0.294,0.365
24,excited,0.560,0.011
24,ill,-0.473,0.234
25,danger,0.136,0.577
25,glad,0.516,-0.127
26,freedom,0.548,-0.292
26,honor,0.497,-0.211
27,great,0.531,-0.204
27,respect,0.325,-0.405
28,amusement,0.594,-0.065
28,money,0.459,-0.160
29,hatred,-0.120,0.571
29,scarcely,-0.496,0.227
30,ashamed,-0.326,0.298
30,ridiculous,-0.310,0.301
31,anger,0.122,0.499
31,effort,0.490,0.064
32,respectful,0.397,-0.391
32,love,0.383,-0.341
33,chair,-0.331,-0.342
33,embarrassment,-0.288,0.374
34,proud,0.568,-0.140
34,grandeur,0.578,-0.060
35,desperate,-0.162,0.530
35,pity,-0.497,0.159
36,ill,-0.473,0.234
36,gardens,-0.153,-0.413
37,energy,0.595,-0.150
37,great,0.531,-0.204
38,furious,0.069,0.633
