T,power,danger,structure,coverage
5000,0.02338,-0.12510,0.00372,0.288
5100,0.02386,-0.12467,0.00313,0.288
5200,0.02382,-0.12373,0.00264,0.288
5300,0.02558,-0.12350,0.00233,0.288
5400,0.02664,-0.12253,0.00190,0.290
5500,0.02694,-0.12189,0.00126,0.289
5600,0.02728,-0.12137,0.00089,0.290
5700,0.02743,-0.12300,-0.00007,0.291
5800,0.02882,-0.12414,-0.00014,0.292
5900,0.02993,-0.12605,-0.00102,0.291
6000,0.02992,-0.12670,-0.00130,0.290
6100,0.02996,-0.12703,-0.00173,0.290
6200,0.03018,-0.12683,-0.00174,0.289
6300,0.02999,-0.12745,-0.00174,0.290
6400,0.03073,-0.12642,-0.00153,0.290
6500,0.03215,-0.12623,-0.00164,0.289
6600,0.03227,-0.12638,-0.00147,0.289
6700,0.03233,-0.12644,-0.00138,0.289
6800,0.03193,-0.12599,-0.00141,0.288
6900,0.03211,-0.12534,-0.00140,0.288
7000,0.03210,-0.12513,-0.00110,0.288
7100,0.03267,-0.12552,-0.00054,0.287
7200,0.03248,-0.12542,-0.00044,0.287
7300,0.03229,-0.12510,-0.00061,0.286
7400,0.03351,-0.12612,-0.00045,0.286
7500,0.03305,-0.12687,0.00020,0.286
7600,0.03364,-0.12656,0.00118,0.287
7700,0.03287,-0.12693,0.00121,0.287
7800,0.03262,-0.12769,0.00181,0.287
7900,0.03245,-0.12950,0.00192,0.286
8000,0.03219,-0.12915,0.00184,0.286
8100,0.03206,-0.12882,0.00211,0.286
8200,0.03193,-0.12915,0.00133,0.286
8300,0.03262,-0.12846,0.00073,0.285
8400,0.03232,-0.12814,0.00077,0.285
8500,0.03317,-0.12717,0.00102,0.285
8600,0.03464,-0.12805,0.00131,0.285
8700,0.03639,-0.12849,0.00225,0.284
8800,0.03585,-0.12907,0.00266,0.284
8900,0.03741,-0.12957,0.00268,0.283
9000,0.03778,-0.12994,0.00277,0.283
9100,0.03848,-0.13148,0.00281,0.283
9200,0.03972,-0.13142,0.00329,0.284
9300,0.03887,-0.13171,0.00293,0.283
9400,0.03994,-0.13312,0.00231,0.283
9500,0.04168,-0.13428,0.00293,0.283
9600,0.04195,-0.13464,0.00287,0.282
9700,0.04230,-0.13572,0.00285,0.281
9800,0.04119,-0.13566,0.00251,0.281
9900,0.04100,-0.13633,0.00298,0.281
10000,0.04050,-0.13749,0.00332,0.281
10100,0.04101,-0.13727,0.00323,0.281
10200,0.04153,-0.13815,0.00322,0.282
10300,0.04204,-0.13712,0.00310,0.281
10400,0.04259,-0.13652,0.00300,0.281
10500,0.04444,-0.13660,0.00308,0.281
10600,0.04472,-0.13728,0.00311,0.281
10700,0.04467,-0.13696,0.00290,0.281
10800,0.04551,-0.13697,0.00351,0.279
10900,0.04500,-0.13688,0.00396,0.280
11000,0.04510,-0.13752,0.00389,0.280
11100,0.04493,-0.13745,0.00419,0.279
11200,0.04371,-0.13706,0.00381,0.279
11300,0.04188,-0.13681,0.00410,0.280
11400,0.04155,-0.13616,0.00443,0.281
11500,0.04030,-0.13600,0.00487,0.280
11600,0.04236,-0.13544,0.00527,0.279
11700,0.04292,-0.13539,0.00549,0.279
11800,0.04228,-0.13507,0.00565,0.281
11900,0.04325,-0.13539,0.00568,0.281
12000,0.04251,-0.13465,0.00565,0.282
12100,0.04191,-0.13433,0.00600,0.283
12200,0.04167,-0.13517,0.00548,0.283
12300,0.04073,-0.13445,0.00487,0.283
12400,0.04066,-0.13491,0.00449,0.283
12500,0.04058,-0.13453,0.00453,0.283
12600,0.04071,-0.13399,0.00521,0.284
12700,0.04068,-0.13417,0.00513,0.285
12800,0.04121,-0.13470,0.00557,0.285
12900,0.04131,-0.13483,0.00587,0.285
13000,0.04350,-0.13565,0.00519,0.284
13100,0.04418,-0.13507,0.00516,0.283
13200,0.04490,-0.13553,0.00530,0.284
13300,0.04434,-0.13485,0.00558,0.284
13400,0.04612,-0.13566,0.00556,0.284
13500,0.04580,-0.13540,0.00557,0.285
13600,0.04616,-0.13492,0.00564,0.285
13700,0.04728,-0.13457,0.00566,0.284
13800,0.04765,-0.13539,0.00544,0.283
13900,0.04773,-0.13486,0.00562,0.283
14000,0.04751,-0.13401,0.00624,0.283
14100,0.04711,-0.13336,0.00613,0.284
14200,0.04769,-0.13372,0.00592,0.284
14300,0.04744,-0.13283,0.00630,0.285
14400,0.04664,-0.13180,0.00629,0.285
14500,0.04661,-0.13120,0.00646,0.286
14600,0.04586,-0.13187,0.00703,0.286
14700,0.04591,-0.13240,0.00734,0.287
14800,0.04567,-0.13313,0.00747,0.286
14900,0.04627,-0.13395,0.00739,0.286
15000,0.04679,-0.13358,0.00758,0.286
15100,0.04645,-0.13394,0.00786,0.287
15200,0.04529,-0.13446,0.00787,0.287
15300,0.04350,-0.13419,0.00825,0.286
15400,0.04264,-0.13417,0.00850,0.286
15500,0.04250,-0.13385,0.00867,0.287
