i,word,power,danger
0,afraid,-0.297,0.533
0,fear,-0.200,0.534
1,nightmare,-0.145,0.569
1,faint,-0.493,0.253
2,deceived,-0.280,0.430
2,gloom,-0.448,0.185
3,terrible,0.023,0.563
3,worse,-0.320,0.446
4,terror,-0.084,0.585
4,horrors,-0.116,0.556
5,scare,-0.163,0.546
5,command,0.355,0.268
6,dreadful,-0.177,0.486
6,cloud,-0.170,-0.433
7,great,0.531,-0.204
7,sky,0.029,-0.519
8,prodigious,0.560,-0.137
8,strength,0.496,-0.078
9,penetrate,0.242,0.424
9,forward,0.325,-0.320
10,successful,0.647,-0.152
10,fears,-0.206,0.530
11,nightmare,-0.145,0.569
11,horrible,-0.117,0.552
12,disuse,-0.480,-0.003
12,clean,0.005,-0.464
13,excellent,0.543,-0.264
13,kind,0.169,-0.476
14,happiness,0.593,-0.158
14,dead,-0.467,0.279
15,rest,-0.101,-0.532
15,comfort,0.175,-0.441
16,mighty,0.653,-0.006
16,great,0.531,-0.204
17,trust,0.390,-0.238
17,closed,-0.422,-0.051
18,hasty,-0.027,0.488
18,normal,-0.146,-0.436
19,happy,0.558,-0.188
19,attack,0.230,0.471
20,confidence,0.442,-0.467
20,energy,0.595,-0.150
21,opportunity,0.576,-0.134
21,experienced,0.488,-0.100
22,vitality,0.509,-0.245
22,astonishing,0.548,-0.027
23,extraordinary,0.603,-0.167
23,strong,0.608,-0.112
24,horrible,-0.117,0.552
24,nausea,-0.227,0.470
25,tired,-0.498,0.132
25,sleep,-0.203,-0.448
26,fear,-0.200,0.534
26,dream,-0.117,-0.493
27,absent,-0.572,0.025
27,wait,-0.467,-0.040
28,excellent,0.543,-0.264
28,fabulous,0.530,-0.224
29,little,-0.428,-0.163
29,six,-0.331,-0.248
30,great,0.531,-0.204
30,library,-0.008,-0.458
31,rest,-0.101,-0.532
31,life,0.497,-0.209
32,mighty,0.653,-0.006
32,love,0.383,-0.341
33,true,0.367,-0.319
33,thank,0.177,-0.431
34,noble,0.208,-0.396
34,common,-0.260,-0.337
35,error,-0.393,0.321
35,learn,0.472,-0.128
36,knowledge,0.426,-0.282
36,willing,0.400,-0.187
37,experiences,0.430,-0.098
37,talk,0.160,-0.343
38,evil,-0.040,0.560
38,treasure,0.489,-0.232
39,destruction,0.088,0.588
39,aged,-0.437,0.160
40,triumphant,0.726,-0.072
40,coward,-0.457,0.266
41,dead,-0.467,0.279
41,able,0.367,-0.194
42,sofa,-0.319,-0.342
42,library,-0.008,-0.458
43,alone,-0.448,-0.121
43,books,-0.121,-0.434
44,correct,0.246,-0.382
44,fall,-0.288,0.330
45,closed,-0.422,-0.051
45,suitable,0.209,-0.341
46,corruption,-0.030,0.554
46,water,-0.076,-0.488
47,leading,0.584,-0.078
47,great,0.531,-0.204
48,kill,0.158,0.638
48,glad,0.516,-0.127
49,love,0.383,-0.341
49,bright,0.433,-0.250
50,malignant,-0.117,0.476
50,little,-0.428,-0.163
51,excellent,0.543,-0.264
51,good,0.180,-0.406
52,die,-0.281,0.512
52,death,-0.149,0.490
53,less,-0.520,-0.026
53,tired,-0.498,0.132
54,fear,-0.200,0.534
54,sky,0.029,-0.519
55,safe,0.293,-0.410
55,living,0.398,-0.180
56,riot,0.057,0.629
56,sleep,-0.203,-0.448
57,error,-0.393,0.321
57,startling,0.491,0.018
58,fury,0.088,0.583
58,increase,0.509,-0.100
59,dangerous,0.086,0.658
59,terrible,0.023,0.563
60,annoying,-0.150,0.539
60,alone,-0.448,-0.121
61,magnificent,0.614,-0.221
61,opportunity,0.576,-0.134
62,wild,0.289,0.438
62,prisoner,-0.279,0.408
63,imprisoned,-0.273,0.480
63,helpless,-0.442,0.219
64,great,0.531,-0.204
64,fears,-0.206,0.530
65,fright,-0.234,0.438
65,assured,0.289,-0.382
66,fear,-0.200,0.534
66,bless,0.167,-0.466
67,loneliness,-0.530,0.025
67,strength,0.496,-0.078
68,wonderfully,0.590,-0.146
68,suspicion,-0.136,0.354
69,fascinating,0.595,-0.116
69,glory,0.565,-0.149
70,fights,0.140,0.610
70,brave,0.589,-0.054
71,fury,0.088,0.583
71,wonder,0.540,-0.119
72,victorious,0.698,0.007
72,conquering,0.623,0.088
73,bloody,-0.025,0.623
73,shame,-0.388,0.421
74,triumph,0.684,-0.116
74,slavery,-0.292,0.507
75,war,0.113,0.626
75,battle,0.412,0.420
76,rest,-0.101,-0.532
76,confuse,-0.328,0.335
77,knowledge,0.426,-0.282
77,wearily,-0.458,-0.038
78,wise,0.330,-0.430
78,difficulty,-0.191,0.464
79,good,0.180,-0.406
79,mislead,-0.103,0.420
80,easy,-0.056,-0.480
80,goods,0.307,-0.343
81,liberty,0.499,-0.248
81,difficulties,-0.176,0.492
82,wonderful,0.605,-0.136
82,ability,0.420,-0.251
83,opportunity,0.576,-0.134
83,bitterness,-0.295,0.360
84,engaged,0.466,-0.163
84,refusal,-0.300,0.392
85,victory,0.642,-0.136
85,smooth,-0.176,-0.500
86,quiet,-0.093,-0.486
86,able,0.367,-0.194
87,protect,0.474,-0.074
87,books,-0.121,-0.434
88,book,0.088,-0.414
88,second,-0.325,-0.203
89,hope,0.298,-0.425
89,sleep,-0.203,-0.448
90,horrible,-0.117,0.552
90,terrible,0.023,0.563
91,freedom,0.548,-0.292
91,fear,-0.200,0.534
92,destroying,0.044,0.565
92,soft,-0.218,-0.421
93,cheer,0.603,-0.106
93,peace,0.136,-0.550
94,wonderful,0.605,-0.136
94,small,-0.395,-0.250
95,terror,-0.084,0.585
95,great,0.531,-0.204
96,awful,-0.118,0.513
96,dread,-0.129,0.447
97,opportunity,0.576,-0.134
97,good,0.180,-0.406
98,gone,-0.457,-0.049
98,easily,0.052,-0.433
99,little,-0.428,-0.163
99,rested,-0.009,-0.395
100,precipice,-0.090,0.410
100,down,-0.398,0.084
101,jagged,-0.434,0.264
101,diamond,0.449,-0.212
102,brilliant,0.560,-0.248
102,hate,-0.140,0.544
103,kill,0.158,0.638
103,vengeance,0.165,0.591
104,calm,-0.162,-0.556
104,great,0.531,-0.204
105,madness,-0.095,0.493
105,frightened,-0.199,0.459
106,freedom,0.548,-0.292
106,fear,-0.200,0.534
107,couch,-0.372,-0.369
107,hope,0.298,-0.425
108,disturbed,-0.151,0.518
108,sleep,-0.203,-0.448
109,together,0.249,-0.338
109,pale,-0.409,-0.019
110,pain,-0.192,0.531
110,truth,0.321,-0.402
111,strong,0.608,-0.112
111,softness,-0.082,-0.561
112,afraid,-0.297,0.533
112,thrilling,0.574,-0.074
113,soft,-0.218,-0.421
113,shivering,-0.202,0.380
114,fury,0.088,0.583
114,storm,0.086,0.531
115,wrath,0.000,0.617
115,rage,0.091,0.577
116,low,-0.526,-0.059
116,beating,-0.028,0.480
117,faint,-0.493,0.253
117,love,0.383,-0.341
118,horror,-0.069,0.517
118,aghast,-0.035,0.515
119,dreadful,-0.177,0.486
119,satisfy,0.470,-0.057
120,glad,0.516,-0.127
120,upset,-0.251,0.427
121,fear,-0.200,0.534
121,destroyed,-0.293,0.465
122,truth,0.321,-0.402
122,dream,-0.117,-0.493
123,quarrel,0.009,0.576
123,power,0.518,-0.022
124,dangerous,0.086,0.658
124,wrath,0.000,0.617
125,life,0.497,-0.209
125,god,0.416,-0.158
126,great,0.531,-0.204
126,fearless,0.489,-0.002
127,horrors,-0.116,0.556
127,death,-0.149,0.490
128,knowledge,0.426,-0.282
128,gold,0.446,-0.181
129,friend,0.213,-0.351
129,down,-0.398,0.084
130,friendship,0.293,-0.431
130,sacred,0.368,-0.311
131,rest,-0.101,-0.532
131,tired,-0.498,0.132
132,opportunity,0.576,-0.134
132,despair,-0.236,0.470
133,gone,-0.457,-0.049
133,useful,0.287,-0.293
134,joy,0.606,-0.111
134,dirty,-0.431,0.209
135,empty,-0.610,-0.011
135,great,0.531,-0.204
