T,power,danger,structure,coverage
5000,-0.00230,-0.11832,-0.00645,0.297
5100,-0.00227,-0.11907,-0.00677,0.297
5200,-0.00276,-0.11912,-0.00707,0.296
5300,-0.00404,-0.11880,-0.00668,0.297
5400,-0.00526,-0.11898,-0.00635,0.297
5500,-0.00503,-0.11885,-0.00610,0.297
5600,-0.00497,-0.11790,-0.00627,0.297
5700,-0.00510,-0.11750,-0.00645,0.298
5800,-0.00540,-0.11674,-0.00608,0.298
5900,-0.00513,-0.11550,-0.00599,0.299
6000,-0.00551,-0.11473,-0.00567,0.298
6100,-0.00527,-0.11572,-0.00530,0.298
6200,-0.00518,-0.11480,-0.00581,0.297
6300,-0.00676,-0.11319,-0.00611,0.297
6400,-0.00671,-0.11326,-0.00647,0.297
6500,-0.00679,-0.11330,-0.00654,0.298
6600,-0.00752,-0.11290,-0.00669,0.297
6700,-0.00762,-0.11262,-0.00636,0.298
6800,-0.00785,-0.11308,-0.00639,0.299
6900,-0.00565,-0.11383,-0.00652,0.298
7000,-0.00445,-0.11316,-0.00660,0.298
7100,-0.00308,-0.11262,-0.00716,0.297
7200,-0.00203,-0.11180,-0.00703,0.297
7300,-0.00119,-0.11097,-0.00701,0.297
7400,-0.00118,-0.11031,-0.00706,0.296
7500,-0.00072,-0.10960,-0.00738,0.295
7600,0.00105,-0.10913,-0.00762,0.295
7700,0.00017,-0.10994,-0.00793,0.295
7800,0.00085,-0.11080,-0.00847,0.295
7900,0.00164,-0.11147,-0.00863,0.296
8000,0.00244,-0.11183,-0.00875,0.296
8100,0.00251,-0.11173,-0.00921,0.296
8200,0.00411,-0.11247,-0.00894,0.295
8300,0.00570,-0.11319,-0.00915,0.294
8400,0.00605,-0.11413,-0.00949,0.295
8500,0.00666,-0.11473,-0.00947,0.295
8600,0.00711,-0.11556,-0.00942,0.295
8700,0.00694,-0.11682,-0.00974,0.295
8800,0.00678,-0.11729,-0.01007,0.294
8900,0.00763,-0.11797,-0.01028,0.295
9000,0.00765,-0.11857,-0.01035,0.296
9100,0.00717,-0.11860,-0.01068,0.296
9200,0.00674,-0.11859,-0.01051,0.296
9300,0.00690,-0.11898,-0.01028,0.297
9400,0.00659,-0.11893,-0.01074,0.296
9500,0.00667,-0.11809,-0.01050,0.297
9600,0.00679,-0.11791,-0.01038,0.298
