i,word,power,danger
0,die,-0.281,0.512
0,great,0.531,-0.204
1,succeed,0.642,-0.114
1,wisdom,0.388,-0.432
2,marvellous,0.588,-0.046
2,fear,-0.200,0.534
3,strong,0.608,-0.112
3,peace,0.136,-0.550
4,greatest,0.539,-0.145
4,engaged,0.466,-0.163
5,storm,0.086,0.531
5,future,0.469,-0.169
6,life,0.497,-0.209
6,respected,0.430,-0.321
7,magnificence,0.602,0.013
7,proud,0.568,-0.140
8,unfortunate,-0.440,0.287
8,hope,0.298,-0.425
9,despair,-0.236,0.470
9,respectable,0.384,-0.340
10,worse,-0.320,0.446
10,scarcely,-0.496,0.227
11,poor,-0.538,0.133
11,weeping,-0.359,0.418
12,inspired,0.500,-0.189
12,worth,0.471,-0.246
13,excite,0.497,0.084
13,soft,-0.218,-0.421
14,love,0.383,-0.341
14,pleasant,0.253,-0.441
15,happiness,0.593,-0.158
15,life,0.497,-0.209
16,mother,0.333,-0.366
16,enjoyment,0.424,-0.225
17,angel,0.186,-0.521
17,gone,-0.457,-0.049
18,rest,-0.101,-0.532
18,poverty,-0.434,0.310
19,wonder,0.540,-0.119
19,died,-0.292,0.443
20,glory,0.565,-0.149
20,weakness,-0.539,0.192
21,powerful,0.695,-0.016
21,blessing,0.318,-0.460
22,passionate,0.567,-0.119
22,protect,0.474,-0.074
23,harmony,0.101,-0.510
23,love,0.383,-0.341
24,majestic,0.627,-0.148
24,turbulence,0.007,0.609
25,magnificent,0.614,-0.221
25,divine,0.521,-0.237
26,danger,0.136,0.577
26,talent,0.505,-0.245
27,heroic,0.621,-0.078
27,happier,0.590,-0.162
28,violent,0.090,0.574
28,fortunate,0.522,-0.199
29,life,0.497,-0.209
29,learn,0.472,-0.128
30,adventurous,0.584,-0.056
30,peaceful,0.045,-0.533
31,ill,-0.473,0.234
31,misfortune,-0.205,0.479
32,genius,0.518,-0.144
32,natural,-0.020,-0.520
33,wonderful,0.605,-0.136
33,joy,0.606,-0.111
34,waste,-0.453,0.325
34,sad,-0.471,0.069
35,greatest,0.539,-0.145
35,wild,0.289,0.438
36,great,0.531,-0.204
36,treasures,0.560,-0.064
37,wonder,0.540,-0.119
37,engaged,0.466,-0.163
38,education,0.336,-0.427
38,knowledge,0.426,-0.282
39,glory,0.565,-0.149
39,violent,0.090,0.574
40,burst,0.267,0.535
40,terrible,0.023,0.563
41,progress,0.530,-0.161
41,dazzling,0.551,0.017
42,catastrophe,0.163,0.575
42,excited,0.560,0.011
43,creation,0.515,-0.241
43,abortive,-0.232,0.477
44,victory,0.642,-0.136
44,prosperity,0.516,-0.217
45,strong,0.608,-0.112
45,happiness,0.593,-0.158
46,danger,0.136,0.577
46,greatest,0.539,-0.145
47,life,0.497,-0.209
47,fortitude,0.500,-0.142
48,happy,0.558,-0.188
48,died,-0.292,0.443
49,void,-0.611,0.016
49,evil,-0.040,0.560
50,sorrow,-0.593,0.127
50,rude,-0.136,0.535
51,fortunate,0.522,-0.199
51,rest,-0.101,-0.532
52,courage,0.526,-0.067
52,sunshine,0.289,-0.407
53,education,0.336,-0.427
53,miserable,-0.463,0.277
54,deceived,-0.280,0.430
54,bless,0.167,-0.466
55,invincible,0.651,-0.005
55,company,0.382,-0.333
56,knowledge,0.426,-0.282
56,youth,0.440,-0.232
57,destruction,0.088,0.588
57,progress,0.530,-0.161
58,useless,-0.527,0.202
58,kind,0.169,-0.476
59,natural,-0.020,-0.520
59,enlightened,0.403,-0.276
60,disappointed,-0.415,0.280
60,little,-0.428,-0.163
61,grand,0.594,-0.106
61,futile,-0.516,0.143
62,grandeur,0.578,-0.060
62,annihilation,-0.019,0.543
63,greatest,0.539,-0.145
63,short,-0.461,0.055
64,view,0.137,-0.427
64,distinguished,0.393,-0.158
65,earthquake,0.219,0.619
65,life,0.497,-0.209
66,destroy,0.079,0.634
66,enemy,0.024,0.471
67,produce,0.559,-0.117
67,creation,0.515,-0.241
68,attractive,0.459,-0.193
68,dignity,0.389,-0.308
69,great,0.531,-0.204
69,advantage,0.490,-0.253
70,success,0.758,-0.050
70,enthusiasm,0.585,-0.086
71,natural,-0.020,-0.520
71,knowledge,0.426,-0.282
72,genius,0.518,-0.144
72,discrimination,-0.204,0.474
73,less,-0.520,-0.026
73,banished,-0.215,0.465
74,progress,0.530,-0.161
74,engaged,0.466,-0.163
75,wonder,0.540,-0.119
75,attainment,0.492,-0.206
76,admiration,0.437,-0.272
76,improved,0.329,-0.309
77,life,0.497,-0.209
77,cowardice,-0.366,0.335
78,horrors,-0.116,0.556
78,greatest,0.539,-0.145
79,succeed,0.642,-0.114
79,corruption,-0.030,0.554
80,brilliant,0.560,-0.248
80,astonishing,0.548,-0.027
81,incredible,0.610,-0.037
81,lifeless,-0.552,0.202
82,great,0.531,-0.204
82,creation,0.515,-0.241
83,dead,-0.467,0.279
83,hope,0.298,-0.425
84,dangerous,0.086,0.658
84,happier,0.590,-0.162
85,success,0.758,-0.050
85,wonderful,0.605,-0.136
86,future,0.469,-0.169
86,encouraged,0.436,-0.182
87,hurricane,0.266,0.562
87,enthusiasm,0.585,-0.086
88,excellent,0.543,-0.264
88,corruption,-0.030,0.554
89,tortured,-0.132,0.580
89,horrors,-0.116,0.556
90,disturbed,-0.151,0.518
90,tremendous,0.433,0.207
91,loathing,-0.162,0.500
91,engaged,0.466,-0.163
92,absent,-0.572,0.025
92,neglect,-0.447,0.349
93,great,0.531,-0.204
93,irresistible,0.565,0.010
94,destroy,0.079,0.634
94,perfection,0.621,-0.088
95,destroyed,-0.293,0.465
95,interesting,0.488,-0.143
96,supreme,0.594,-0.068
96,enthusiasm,0.585,-0.086
97,crime,0.092,0.621
97,energy,0.595,-0.150
