T,power,danger,structure,coverage
5000,0.07977,-0.12102,0.00318,0.322
5100,0.07893,-0.12047,0.00279,0.321
5200,0.07797,-0.11947,0.00265,0.321
5300,0.07764,-0.11872,0.00236,0.320
5400,0.07644,-0.11901,0.00203,0.320
5500,0.07619,-0.11887,0.00201,0.320
5600,0.07706,-0.11851,0.00228,0.319
5700,0.07663,-0.11808,0.00249,0.320
5800,0.07696,-0.11798,0.00218,0.319
5900,0.07434,-0.11814,0.00195,0.319
6000,0.07279,-0.11881,0.00142,0.319
6100,0.07299,-0.11926,0.00118,0.318
6200,0.07332,-0.11797,0.00056,0.318
6300,0.07292,-0.11831,0.00052,0.317
6400,0.07198,-0.11783,-0.00009,0.316
6500,0.07153,-0.11804,-0.00029,0.316
6600,0.07082,-0.11755,-0.00050,0.316
6700,0.07040,-0.11743,-0.00047,0.317
6800,0.06978,-0.11816,-0.00063,0.316
6900,0.06933,-0.11742,-0.00057,0.315
7000,0.06939,-0.11658,-0.00066,0.315
7100,0.06909,-0.11689,-0.00095,0.316
7200,0.06946,-0.11801,-0.00147,0.315
7300,0.07019,-0.11933,-0.00141,0.315
7400,0.06948,-0.11966,-0.00112,0.315
7500,0.06940,-0.11994,-0.00158,0.315
7600,0.07012,-0.11963,-0.00224,0.315
7700,0.07020,-0.11989,-0.00254,0.314
7800,0.06937,-0.11940,-0.00275,0.314
7900,0.07066,-0.11898,-0.00263,0.315
8000,0.07149,-0.11814,-0.00281,0.315
8100,0.07281,-0.11892,-0.00255,0.315
8200,0.07445,-0.11793,-0.00247,0.314
8300,0.07512,-0.11831,-0.00223,0.314
8400,0.07503,-0.11794,-0.00262,0.314
8500,0.07659,-0.11854,-0.00295,0.314
8600,0.07820,-0.11812,-0.00338,0.315
8700,0.07972,-0.11848,-0.00368,0.315
8800,0.08079,-0.11835,-0.00387,0.317
8900,0.08076,-0.11855,-0.00419,0.317
9000,0.08057,-0.11720,-0.00368,0.317
9100,0.08040,-0.11593,-0.00398,0.317
9200,0.08022,-0.11562,-0.00420,0.316
9300,0.08051,-0.11570,-0.00424,0.316
9400,0.08065,-0.11615,-0.00443,0.317
9500,0.07968,-0.11642,-0.00420,0.318
9600,0.08036,-0.11774,-0.00451,0.316
9700,0.07883,-0.11541,-0.00448,0.317
9800,0.07869,-0.11431,-0.00438,0.316
9900,0.07789,-0.11342,-0.00443,0.316
10000,0.07582,-0.11317,-0.00412,0.316
10100,0.07493,-0.11260,-0.00402,0.315
10200,0.07359,-0.11267,-0.00447,0.315
10300,0.07187,-0.11238,-0.00442,0.315
10400,0.07150,-0.11046,-0.00397,0.314
10500,0.06998,-0.10873,-0.00396,0.314
