label,chapter,t
The Odyssey,I,0.00000
The Odyssey,II,0.03390
The Odyssey,III,0.06850
The Odyssey,IV,0.10719
The Odyssey,V,0.17343
The Odyssey,VI,0.21185
The Odyssey,VII,0.24014
The Odyssey,VIII,0.26773
The Odyssey,IX,0.31374
The Odyssey,X,0.36150
The Odyssey,XI,0.40826
The Odyssey,XII,0.45775
The Odyssey,XIII,0.49555
The Odyssey,XIV,0.53007
The Odyssey,XV,0.57431
The Odyssey,XVI,0.61880
The Odyssey,XVII,0.65617
The Odyssey,XVIII,0.70430
The Odyssey,XIX,0.73848
The Odyssey,XX,0.78790
The Odyssey,XXI,0.81942
The Odyssey,XXII,0.85437
The Odyssey,XXIII,0.89182
The Odyssey,XXIV,0.92220
Anna Karenina,1,0.00001
Anna Karenina,2,0.00277
Anna Karenina,3,0.00630
Anna Karenina,4,0.01112
Anna Karenina,5,0.01655
Anna Karenina,6,0.02547
Anna Karenina,7,0.02877
Anna Karenina,8,0.03101
Anna Karenina,9,0.03359
Anna Karenina,10,0.04062
Anna Karenina,11,0.04764
Anna Karenina,12,0.05201
Anna Karenina,13,0.05688
Anna Karenina,14,0.05947
Anna Karenina,15,0.06634
Anna Karenina,16,0.06886
Anna Karenina,17,0.07101
Anna Karenina,18,0.07421
Anna Karenina,19,0.07970
Anna Karenina,20,0.08623
Anna Karenina,21,0.08995
Anna Karenina,22,0.09239
Anna Karenina,23,0.09743
Anna Karenina,24,0.10213
Anna Karenina,25,0.10677
Anna Karenina,26,0.11182
Anna Karenina,27,0.11573
Anna Karenina,28,0.11834
Anna Karenina,29,0.12139
Anna Karenina,30,0.12512
Anna Karenina,31,0.12827
Anna Karenina,32,0.13223
Anna Karenina,33,0.13467
Anna Karenina,34,0.13863
Anna Karenina,1,0.14309
Anna Karenina,2,0.14696
Anna Karenina,3,0.15112
Anna Karenina,4,0.15484
Anna Karenina,5,0.15847
Anna Karenina,6,0.16238
Anna Karenina,7,0.16761
Anna Karenina,8,0.17315
Anna Karenina,9,0.17764
Anna Karenina,10,0.18181
Anna Karenina,11,0.18253
Anna Karenina,12,0.18475
Anna Karenina,13,0.18818
Anna Karenina,14,0.19573
Anna Karenina,15,0.20051
Anna Karenina,16,0.20417
Anna Karenina,17,0.20883
Anna Karenina,18,0.21360
Anna Karenina,19,0.21572
Anna Karenina,20,0.21924
Anna Karenina,21,0.22216
Anna Karenina,22,0.22771
Anna Karenina,23,0.23323
Anna Karenina,24,0.23628
Anna Karenina,25,0.24278
Anna Karenina,26,0.24866
Anna Karenina,27,0.25406
Anna Karenina,28,0.25687
Anna Karenina,29,0.26113
Anna Karenina,30,0.26528
Anna Karenina,31,0.26904
Anna Karenina,32,0.27188
