label,t,power,danger,structure,coverage
The Odyssey,0.04108,0.03219,-0.13149,-0.00444,0.29100
The Odyssey,0.04191,0.03147,-0.13183,-0.00462,0.29100
The Odyssey,0.04273,0.03107,-0.13138,-0.00472,0.29100
The Odyssey,0.04355,0.03264,-0.13119,-0.00475,0.29200
The Odyssey,0.04437,0.03338,-0.13177,-0.00467,0.29200
The Odyssey,0.04519,0.03394,-0.13171,-0.00429,0.29200
The Odyssey,0.04601,0.03474,-0.13167,-0.00445,0.29200
The Odyssey,0.04684,0.03404,-0.13212,-0.00466,0.29100
The Odyssey,0.04766,0.03397,-0.13119,-0.00447,0.29100
The Odyssey,0.04848,0.03324,-0.13019,-0.00474,0.29000
The Odyssey,0.04930,0.03333,-0.13016,-0.00491,0.29000
The Odyssey,0.05012,0.03362,-0.12995,-0.00459,0.29000
The Odyssey,0.05094,0.03355,-0.12984,-0.00450,0.29100
The Odyssey,0.05177,0.03410,-0.12970,-0.00473,0.29100
The Odyssey,0.05259,0.03393,-0.12895,-0.00521,0.29200
The Odyssey,0.05341,0.03487,-0.13006,-0.00558,0.29200
The Odyssey,0.05423,0.03532,-0.12997,-0.00502,0.29100
The Odyssey,0.05505,0.03445,-0.13014,-0.00480,0.29200
The Odyssey,0.05588,0.03428,-0.13076,-0.00480,0.29300
The Odyssey,0.05670,0.03469,-0.13081,-0.00425,0.29300
The Odyssey,0.05752,0.03511,-0.12973,-0.00420,0.29400
The Odyssey,0.05834,0.03417,-0.12997,-0.00404,0.29400
The Odyssey,0.05916,0.03393,-0.13175,-0.00391,0.29400
The Odyssey,0.05998,0.03412,-0.13195,-0.00382,0.29400
The Odyssey,0.06081,0.03299,-0.13173,-0.00370,0.29500
The Odyssey,0.06163,0.03316,-0.13222,-0.00349,0.29500
The Odyssey,0.06245,0.03191,-0.13168,-0.00376,0.29400
The Odyssey,0.06327,0.03163,-0.13060,-0.00393,0.29300
The Odyssey,0.06409,0.03048,-0.13121,-0.00372,0.29200
The Odyssey,0.06491,0.03084,-0.13109,-0.00322,0.29100
The Odyssey,0.06574,0.03072,-0.12988,-0.00335,0.28800
The Odyssey,0.06656,0.03127,-0.12968,-0.00347,0.28900
The Odyssey,0.06738,0.03340,-0.13040,-0.00312,0.28700
The Odyssey,0.06820,0.03291,-0.13076,-0.00377,0.28700
The Odyssey,0.06902,0.03289,-0.13108,-0.00320,0.28800
The Odyssey,0.06984,0.03267,-0.13106,-0.00337,0.28600
The Odyssey,0.07067,0.03149,-0.13137,-0.00301,0.28600
The Odyssey,0.07149,0.03058,-0.13137,-0.00236,0.28500
The Odyssey,0.07231,0.03056,-0.13223,-0.00204,0.28500
The Odyssey,0.07313,0.03047,-0.13238,-0.00202,0.28600
The Odyssey,0.07395,0.02966,-0.13185,-0.00231,0.28600
The Odyssey,0.07477,0.02940,-0.13024,-0.00233,0.28700
The Odyssey,0.07560,0.02894,-0.12993,-0.00266,0.28600
The Odyssey,0.07642,0.02916,-0.13029,-0.00217,0.28700
The Odyssey,0.07724,0.02993,-0.13106,-0.00215,0.28700
The Odyssey,0.07806,0.02937,-0.13101,-0.00185,0.28700
The Odyssey,0.07888,0.02908,-0.13107,-0.00188,0.28700
The Odyssey,0.07970,0.02938,-0.13148,-0.00170,0.28600
The Odyssey,0.08053,0.02971,-0.13255,-0.00138,0.28600
The Odyssey,0.08135,0.02957,-0.13294,-0.00121,0.28600
The Odyssey,0.08217,0.03024,-0.13440,-0.00112,0.28700
The Odyssey,0.08299,0.02903,-0.13540,-0.00143,0.28600
The Odyssey,0.08381,0.02908,-0.13522,-0.00109,0.28700
The Odyssey,0.08463,0.02835,-0.13463,-0.00093,0.28800
The Odyssey,0.08546,0.02730,-0.13405,-0.00079,0.28700
The Odyssey,0.08628,0.02655,-0.13378,-0.00038,0.28500
The Odyssey,0.08710,0.02751,-0.13379,-0.00022,0.28400
The Odyssey,0.08792,0.02702,-0.13369,-0.00001,0.28400
The Odyssey,0.08874,0.02722,-0.13468,0.00011,0.28400
The Odyssey,0.08956,0.02746,-0.13532,0.00039,0.28300
The Odyssey,0.09039,0.02758,-0.13590,0.00034,0.28300
The Odyssey,0.09121,0.02643,-0.13557,-0.00012,0.28300
The Odyssey,0.09203,0.02709,-0.13521,-0.00018,0.28300
The Odyssey,0.09285,0.02758,-0.13458,-0.00039,0.28100
The Odyssey,0.09367,0.02723,-0.13471,0.00018,0.28100
The Odyssey,0.09449,0.02668,-0.13518,0.00019,0.28100
The Odyssey,0.09532,0.02693,-0.13648,0.00032,0.28100
The Odyssey,0.09614,0.02693,-0.13624,0.00037,0.28100
The Odyssey,0.09696,0.02790,-0.13726,0.00022,0.28200
The Odyssey,0.09778,0.02799,-0.13795,0.00015,0.28200
The Odyssey,0.09860,0.02784,-0.13816,-0.00004,0.28200
The Odyssey,0.09942,0.02697,-0.13809,0.00017,0.28100
The Odyssey,0.10025,0.02538,-0.13745,-0.00001,0.28100
The Odyssey,0.10107,0.02468,-0.13757,-0.00005,0.28200
The Odyssey,0.10189,0.02459,-0.13676,0.00023,0.28100
The Odyssey,0.10271,0.02506,-0.13580,0.00046,0.28000
The Odyssey,0.10353,0.02619,-0.13571,0.00067,0.28000
The Odyssey,0.10435,0.02646,-0.13482,0.00060,0.28000
