word,count
aback,3
abandon,21
abandoned,58
abandonment,7
abashed,4
abate,1
abatement,1
abbey,21
abbot,4
abbreviation,2
abdomen,1
abduction,3
aberration,4
abhor,6
abhorrence,12
abhorrent,2
abide,4
abiding,1
ability,11
abject,9
ablaze,1
able,316
abnormal,2
aboard,9
abode,33
abolish,2
abolition,1
abominable,29
abominate,2
abomination,4
abortion,1
abortive,1
abound,11
abreast,4
abroad,92
abrupt,33
abruptly,63
absence,95
absent,48
absinthe,4
absolute,69
absolution,4
absorb,2
absorbed,84
absorbing,10
absorption,5
abstain,2
abstract,6
abstraction,3
absurd,41
absurdity,5
abundance,21
abundant,5
abuse,12
abused,5
abusive,2
abyss,62
academic,1
academy,14
accede,1
accelerated,1
accent,38
accentuate,1
accept,75
acceptable,9
acceptance,16
access,6
accessible,5
accident,41
accidental,6
accidentally,10
accommodate,2
accommodation,1
accompaniment,11
accompany,19
accompanying,6
accomplice,7
accomplish,11
accomplished,55
accomplishment,7
accord,30
accordance,32
account,207
accounting,4
accounts,25
accumulate,1
accumulation,7
accuracy,8
accurate,12
accursed,6
accusation,6
accuse,14
accused,29
accuser,2
accusing,3
accustomed,61
ache,7
achieve,7
achieved,4
achievement,2
aching,8
acid,2
acknowledge,22
acknowledged,24
acknowledgment,4
acme,1
acoustic,1
acquaint,2
acquaintance,122
acquainted,95
acquiescence,7
acquire,6
acquiring,2
acquisition,2
acquit,5
acquittal,1
acre,13
acres,19
acrobat,2
act,154
acting,18
action,131
active,20
activity,26
actor,8
actress,6
actual,32
acumen,1
acute,7
acutely,5
ad,11
adamant,1
adapt,1
adaptation,1
add,85
added,427
addendum,1
adder,2
addicted,2
addition,53
additional,10
address,108
addresses,11
adept,2
adequate,3
adhere,2
adherence,3
adherent,3
adhering,3
adhesion,1
adieu,11
adjacent,2
adjoining,16
adjunct,1
adjust,3
administer,1
administration,10
administrative,7
admirable,46
admiral,2
admiralty,1
admiration,73
admire,47
admired,54
admirer,7
admiring,28
admission,7
admit,97
admittance,4
admitted,46
admitting,16
admonition,3
adolescence,1
adopt,10
adorable,19
adoration,27
adore,20
adoring,5
adorn,2
adrift,2
adulterated,1
adultery,7
advance,72
advanced,90
advancement,9
advancing,22
advantage,88
advantageous,4
advent,9
adventure,48
adventurer,3
adventures,22
adventurous,3
adversary,8
adversity,5
advertise,1
advertising,1
advice,66
advisable,9
advise,29
advised,21
adviser,1
advocate,7
aegis,1
aerial,5
afar,11
affable,7
affair,113
affect,22
affecting,9
affection,125
affectionate,41
affections,13
affiliated,4
affiliation,1
affinity,3
affirm,5
affirmation,5
affirmative,9
affirmatively,2
afflict,1
afflicted,10
affliction,10
affluence,1
affluent,2
afford,32
affront,9
affronted,3
afield,4
afloat,1
afore,8
afraid,249
afresh,23
african,1
aft,4
aftermath,1
afternoon,49
aftertaste,3
afterthought,3
age,236
aged,48
agency,9
agent,44
agglomeration,1
aggravated,6
aggravates,1
aggravating,1
aggravation,1
aggregation,1
aggressive,4
aggressively,1
aghast,1
agile,8
agility,9
agitate,3
agitated,43
agitation,40
aglow,2
ago,212
agonizing,15
agony,115
agree,55
agreeable,76
agreed,91
agreeing,13
agreement,20
agricultural,3
agriculture,30
aground,1
ahead,31
aid,62
aiding,7
aids,5
ailing,4
ailment,1
aim,64
aimless,1
air,511
airs,18
airspace,1
ajar,9
akin,14
alabaster,1
alarm,63
alarmed,56
alarming,41
alas,108
albatross,1
album,6
alcohol,2
alcove,13
alert,14
alertness,1
algebra,2
alias,20
alien,3
alienated,1
alienation,2
alight,7
alike,30
alive,109
allay,1
alleged,2
alleviate,3
alley,50
alleyway,1
alliance,11
allied,2
allot,1
allow,146
allowable,3
allowance,8
allowed,157
alloy,2
alluring,3
allusion,29
alluvial,1
ally,5
almanac,1
almighty,8
almond,1
aloft,9
alone,577
alongside,6
aloof,7
aloud,78
alphabet,4
alphabetical,3
alpine,2
altar,45
alter,17
alteration,12
altered,24
alternate,5
alternating,1
alternative,11
altogether,70
amalgamation,3
amateur,6
amaze,4
amazed,32
amazement,66
amazing,5
ambassador,4
amber,8
ambiguous,2
ambition,31
ambitious,6
ambrosia,6
ambulance,8
ambush,21
ameliorate,2
amen,6
amenable,4
amend,3
amendment,3
amends,5
amiable,75
amicable,4
amid,85
amidst,15
ammonia,1
ammunition,5
amnesty,1
amorous,4
amount,54
amour,5
amphibious,1
ample,8
amplitude,1
amply,3
amuse,26
amused,25
amusement,28
amusing,32
analogous,1
analogy,3
analysis,3
analyze,2
anarchist,1
anarchy,12
anatomy,3
ancestor,1
anchor,13
ancient,148
anecdote,4
anew,9
angel,78
angelic,14
anger,61
angered,8
angle,68
angling,3
angry,165
anguish,81
angular,6
animal,47
animate,3
animated,15
animation,18
animosity,1
ankle,5
annexation,1
annihilate,4
annihilated,10
annihilation,4
anniversary,1
announce,28
announcement,10
annoy,6
annoyance,15
annoyed,21
annoying,10
annoys,2
annual,5
annuity,2
anointed,12
anointing,4
anomalous,2
anon,3
anonymous,2
answer,336
answerable,2
answering,29
ant,2
antagonism,7
antagonist,4
antagonistic,4
antelope,1
anterior,5
anthill,3
anthropology,1
anticipate,3
anticipation,12
antidote,4
antipathy,2
antiquated,5
antique,32
antiques,1
antiquity,7
antithesis,2
anvil,3
anxiety,94
anxious,108
apace,2
apartment,39
apartments,13
apathetic,1
apathy,7
ape,1
aperture,20
apex,1
apiece,4
apocalypse,4
apologetic,1
apologize,7
apology,15
apostle,3
apostolic,1
apostrophe,6
apothecary,9
appalled,10
appalling,10
apparatus,11
apparel,4
apparent,42
apparently,51
apparition,28
appeal,24
appear,120
appearance,215
appease,3
appendix,3
appetite,33
appetizer,1
applaud,4
applause,7
apple,16
appliances,2
applicability,1
applicable,3
application,26
apply,28
appointment,22
appointments,4
apportionment,1
appraise,1
appreciate,17
appreciated,11
appreciates,1
appreciation,4
appreciative,1
apprehend,5
apprehension,23
apprehensive,1
apprenticeship,1
approach,73
approaching,77
approbation,9
appropriate,3
appropriation,1
approval,11
approve,18
approved,25
approving,5
approximation,2
appurtenances,2
apricot,1
apron,20
apt,9
aptitude,7
aquatic,1
aqueduct,2
arable,3
arbiter,2
arbitrary,3
arbitration,1
arbitrator,2
arbor,3
arc,3
arcade,7
arch,12
archangel,9
archbishop,27
archduke,1
arched,16
archer,7
archipelago,1
architect,17
architecture,8
ardent,24
ardor,5
arduous,2
area,4
argue,15
argument,25
argumentative,3
arguments,38
arid,1
arise,28
aristocracy,6
aristocrat,6
aristocratic,6
arithmetic,1
ark,1
arm,274
armada,1
armament,2
armchair,37
armed,64
armor,4
armory,1
arms,324
army,112
arouse,16
aroused,37
arrange,48
arranged,98
arrangement,28
array,4
arrears,4
arrest,32
arrival,118
arrive,71
arrogance,3
arrogant,3
arrow,24
arsenal,13
art,112
artery,3
artful,4
article,42
articles,15
articulate,6
articulation,1
artifice,1
artificial,12
artillery,35
artisan,8
artist,32
artistic,5
artists,12
ascend,17
ascending,11
ascension,4
ascent,9
ascertain,6
ascertained,9
ascetic,4
ash,5
ashamed,100
ashes,37
ashtray,3
asinine,1
ask,346
asleep,187
asp,1
asparagus,4
aspect,66
aspects,19
aspen,10
asphyxia,1
aspiration,5
aspire,4
aspiring,1
ass,7
assail,4
assailant,1
assassin,27
assassinate,3
assassination,8
assault,21
assemblage,4
assemble,1
assembled,25
assembly,39
assent,11
assert,8
asserting,5
assertion,9
assets,1
assign,1
assimilation,1
assist,26
assistance,49
assistant,13
associate,5
association,16
assorted,1
assuage,2
assume,15
assumed,54
assuming,9
assumption,6
assurance,30
assure,63
assured,64
assuredly,27
asterisk,1
asthma,4
astonish,4
astonished,60
astonishing,15
astonishingly,1
astonishment,69
astound,1
astral,1
astray,11
astronomer,2
astronomy,1
astute,2
asunder,5
asylum,19
atelier,1
atheism,1
atheist,3
athlete,4
athletic,3
atlas,5
atmosphere,22
atmospheric,1
atom,5
atone,7
atonement,3
atrocious,3
atrocity,3
attach,23
attached,74
attachment,35
attack,98
attacking,20
attain,8
attainable,1
attainment,3
attempt,90
attempted,35
attend,48
attendance,8
attendant,32
attention,273
attentive,27
attest,1
attestation,1
attic,41
attire,21
attitude,116
attorney,12
attract,19
attraction,16
attractive,21
attractiveness,2
attribute,8
auction,3
auctioneer,1
audacious,8
audacity,16
audible,64
audience,27
auditor,2
aught,8
augment,9
augmentation,3
august,59
aunt,158
auntie,1
aurora,12
auspices,1
auspicious,1
austere,16
austerity,5
authentic,3
author,40
authoritative,4
authority,80
authorization,2
authorize,4
authorized,7
autograph,1
automatic,1
autopsy,1
autumn,31
auxiliary,3
avail,9
available,7
avalanche,7
avarice,3
avenge,14
avenger,1
avenging,5
avenue,26
average,8
averse,3
aversion,14
avert,3
avoid,86
avoidance,1
avoiding,18
await,18
awake,50
awaken,9
awakening,8
award,1
awards,1
aware,130
awe,14
awed,4
awestruck,1
awful,116
awkward,40
awkwardness,14
awry,2
axe,20
axiom,1
axle,3
ay,16
azure,22
babble,5
babe,5
baby,88
bachelor,13
back,1287
backbone,2
backgammon,2
background,26
backward,7
backwards,18
backwater,2
backyard,1
bacon,8
bad,258
badly,74
baffle,4
baffled,7
bag,58
baggage,9
baggy,2
bagpipes,2
bailiff,39
bait,1
bake,1
bal,1
balance,25
balanced,8
balcony,18
bald,25
baldy,1
bale,1
ball,118
ballad,1
ballast,1
ballet,8
ballistic,1
balloon,1
ballot,7
ballroom,11
balm,2
balmy,1
bamboo,1
ban,10
band,40
bandage,4
bandit,6
bane,2
bang,5
banish,7
banished,11
banishment,1
bank,50
banker,7
banking,7
bankrupt,7
bankruptcy,6
banner,5
banquet,21
banter,1
baptism,3
baptismal,5
bar,50
barbarian,2
barbaric,1
barbarism,7
barbed,1
barber,11
bard,24
bare,101
barefoot,14
barely,31
bargain,8
bargaining,3
barge,3
baritone,1
bark,20
barks,6
barley,19
barn,13
baron,68
