label,T
I,4
II,1055
III,3082
IV,3856
V,6777
VI,7812
VII,10002
VIII,11271
IX,12734
X,14207
XI,18867
XII,20534
XIII,21655
XIV,23202
I,24129
II,28478
III,29916
IV,31976
V,33323
VI,33850
VII,35979
VIII,38918
IX,39682
X,40131
XI,41258
XII,42683
XIII,43813
I,47148
II,49394
III,50963
IV,52411
V,53300
VI,54311
VII,54834
VIII,56930
IX,57724
I,58651
II,61996
III,62799
I,63843
II,64393
III,65780
IV,66958
V,67817
VI,69904
VII,70898
VIII,71337
IX,72413
X,73365
XI,75233
XII,75537
XIII,76484
I,80287
II,81535
I,84785
II,85889
III,87532
IV,95268
V,96476
VI,100561
VII,103065
VIII,104706
IX,105980
X,108641
XI,111434
I,113063
II,113990
III,115468
IV,116849
V,118291
I,120384
II,121044
III,123714
IV,124685
V,125426
VI,126539
VII,127560
VIII,129737
IX,130646
X,132012
XI,133775
XII,134308
XIII,134883
XIV,135779
XV,136214
XVI,137071
XVII,138873
XVIII,139528
XIX,140509
I,142896
II,143981
III,145800
I,148957
II,150279
III,152263
IV,153081
V,153602
VI,155734
VII,157652
VIII,158470
IX,164793
X,167655
XI,169462
I,169981
II,172343
III,172885
IV,174424
V,175220
I,176532
II,177949
III,178536
IV,179707
V,180672
VI,182055
VII,182942
VIII,183655
IX,184335
X,185644
I,189069
II,190473
III,193034
IV,193625
V,194859
VI,196911
VII,197834
VIII,198618
IX,199252
X,199972
XI,200572
I,201228
II,201413
III,202492
IV,203334
V,203846
VI,204275
VII,205057
VIII,205298
I,206057
II,209005
III,209813
IV,213100
V,215160
VI,217233
VII,217807
VIII,220367
IX,221466
I,224135
II,224390
III,224885
IV,225302
V,225560
VI,226376
VII,227122
VIII,227866
IX,228445
X,228738
XI,229833
XII,230671
XIII,231028
I,231923
II,232622
III,233047
IV,233391
V,233724
VI,234176
VII,234937
VIII,235153
I,235979
II,237220
III,239833
IV,242773
V,244027
VI,244673
VII,247207
VIII,248886
I,250823
II,256077
III,257321
IV,258028
V,260855
VI,262274
I,263154
II,264018
III,265278
IV,267198
V,268911
VI,269774
I,271477
II,272702
III,273577
IV,274007
V,275135
VI,275581
VII,276587
VIII,277283
IX,277945
I,278726
II,279590
III,280175
IV,281111
I,282038
II,282741
III,283388
IV,284887
V,287433
VI,288345
VII,289904
VIII,291137
IX,291924
X,293286
XI,294549
XII,295481
XIII,297182
XIV,298169
XV,299374
XVI,300212
XVII,301423
XVIII,302877
XIX,303396
XX,305023
XXI,314322
XXII,315569
I,316204
II,318333
III,319522
IV,322266
V,324860
VI,328885
I,330301
II,332505
III,334267
IV,335740
I,337356
II,339152
III,340097
IV,341501
V,343375
VI,345126
VII,346410
VIII,348426
I,352328
II,353200
I,356296
II,356910
III,358169
IV,359256
V,360550
VI,361470
I,362765
II,364082
III,372003
I,376884
II,379645
III,382892
IV,384521
I,386072
II,388215
III,389019
IV,390183
V,392641
VI,392897
VII,395002
I,399625
II,400262
III,401199
I,402629
II,403911
III,406219
IV,408316
V,410270
I,411301
II,412188
III,413392
IV,413972
V,414557
VI,415067
I,415560
II,417549
III,421081
IV,422240
V,423579
VI,424310
VII,425141
VIII,426419
I,428050
II,429142
III,430168
I,432569
II,433507
III,434503
IV,434905
V,435832
VI,436489
VII,437929
I,439271
II,442681
III,444090
IV,444665
I,446279
II,449110
III,450567
IV,451191
V,453590
VI,455156
VII,455866
VIII,457396
IX,458427
X,459020
XI,460502
XII,460928
XIII,462101
XIV,462815
XV,463570
XVI,464644
XVII,467896
XVIII,468485
XIX,469798
XX,470663
XXI,474164
XXII,475809
XXIII,477166
XXIV,478361
I,479426
II,480922
III,482187
IV,483292
V,484666
VI,485151
I,486989
II,489509
III,490334
IV,492021
V,493444
VI,495349
VII,496173
VIII,497088
IX,498883
X,500441
XI,501082
XII,501720
I,504029
I,508824
II,510091
III,511921
IV,513074
V,514998
VI,515459
VII,518676
VIII,519567
I,521146
II,524360
III,527990
IV,528916
I,530648
II,537523
I,540765
II,542393
III,543373
IV,545004
I,545704
II,546547
III,547169
IV,548296
V,555271
VI,559138
