T,power,danger,structure,coverage
5000,0.01960,-0.12988,-0.02604,0.305
5100,0.01951,-0.12990,-0.02602,0.305
5200,0.01850,-0.12909,-0.02605,0.305
5300,0.01764,-0.12898,-0.02628,0.305
5400,0.01698,-0.13158,-0.02613,0.305
5500,0.01705,-0.13148,-0.02608,0.305
5600,0.01633,-0.13116,-0.02573,0.305
5700,0.01626,-0.13101,-0.02562,0.305
5800,0.01725,-0.13073,-0.02562,0.305
5900,0.01680,-0.12945,-0.02589,0.304
6000,0.01589,-0.12867,-0.02617,0.303
6100,0.01391,-0.12860,-0.02480,0.303
6200,0.01312,-0.12807,-0.02434,0.303
6300,0.01282,-0.12743,-0.02385,0.303
6400,0.01441,-0.12772,-0.02332,0.303
6500,0.01602,-0.12825,-0.02358,0.303
6600,0.01663,-0.12879,-0.02366,0.302
6700,0.01662,-0.12775,-0.02381,0.302
6800,0.01729,-0.12705,-0.02335,0.304
6900,0.01693,-0.12618,-0.02293,0.306
7000,0.01641,-0.12645,-0.02286,0.309
7100,0.01729,-0.12701,-0.02241,0.311
7200,0.01667,-0.12577,-0.02176,0.312
7300,0.01627,-0.12488,-0.02181,0.312
7400,0.01624,-0.12527,-0.02116,0.312
7500,0.01625,-0.12536,-0.02102,0.311
7600,0.01700,-0.12497,-0.02061,0.312
7700,0.01777,-0.12494,-0.02063,0.312
7800,0.01779,-0.12527,-0.02063,0.315
7900,0.01735,-0.12590,-0.02024,0.316
8000,0.01624,-0.12634,-0.02037,0.316
8100,0.01490,-0.12670,-0.02029,0.316
8200,0.01463,-0.12651,-0.01992,0.316
8300,0.01529,-0.12697,-0.01966,0.315
8400,0.01434,-0.12620,-0.01939,0.315
8500,0.01353,-0.12604,-0.01910,0.316
8600,0.01318,-0.12568,-0.01946,0.316
8700,0.01365,-0.12597,-0.01893,0.317
8800,0.01388,-0.12489,-0.01889,0.316
8900,0.01389,-0.12467,-0.01878,0.315
9000,0.01367,-0.12465,-0.01855,0.315
9100,0.01386,-0.12421,-0.01861,0.315
9200,0.01375,-0.12486,-0.01865,0.315
9300,0.01321,-0.12522,-0.01900,0.315
9400,0.01349,-0.12467,-0.01912,0.314
9500,0.01287,-0.12369,-0.01917,0.314
9600,0.01308,-0.12300,-0.01942,0.313
9700,0.01350,-0.12257,-0.01935,0.313
9800,0.01371,-0.12216,-0.01965,0.314
9900,0.01318,-0.12235,-0.01990,0.315
10000,0.01254,-0.12376,-0.01967,0.316
10100,0.01350,-0.12568,-0.01989,0.316
10200,0.01312,-0.12691,-0.02024,0.316
10300,0.01377,-0.12817,-0.01998,0.316
10400,0.01270,-0.12969,-0.01984,0.317
10500,0.01251,-0.13158,-0.01961,0.317
10600,0.01206,-0.13243,-0.01956,0.317
10700,0.01326,-0.13330,-0.01951,0.318
10800,0.01324,-0.13306,-0.01964,0.318
10900,0.01439,-0.13325,-0.01970,0.318
11000,0.01542,-0.13323,-0.02037,0.319
11100,0.01501,-0.13100,-0.02033,0.320
11200,0.01562,-0.13058,-0.02041,0.321
11300,0.01580,-0.13024,-0.02062,0.322
11400,0.01578,-0.13096,-0.02094,0.322
11500,0.01452,-0.13196,-0.02077,0.322
11600,0.01424,-0.13238,-0.02051,0.322
11700,0.01428,-0.13245,-0.02050,0.321
11800,0.01358,-0.13249,-0.02014,0.321
11900,0.01313,-0.13160,-0.02034,0.321
12000,0.01303,-0.13111,-0.01981,0.321
12100,0.01394,-0.13152,-0.01994,0.321
12200,0.01450,-0.13103,-0.01961,0.320
12300,0.01474,-0.13088,-0.01994,0.321
12400,0.01468,-0.13028,-0.02008,0.320
12500,0.01529,-0.12992,-0.02046,0.320
12600,0.01556,-0.12913,-0.01972,0.320
12700,0.01613,-0.12777,-0.02009,0.320
12800,0.01585,-0.12607,-0.01929,0.319
12900,0.01735,-0.12522,-0.01913,0.318
13000,0.01848,-0.12457,-0.01898,0.318
13100,0.01883,-0.12499,-0.01907,0.319
13200,0.01876,-0.12278,-0.01935,0.318
13300,0.01871,-0.12209,-0.01960,0.318
13400,0.01949,-0.12141,-0.02003,0.317
13500,0.02031,-0.12120,-0.02010,0.316
13600,0.01980,-0.11978,-0.02010,0.317
13700,0.02021,-0.12005,-0.02001,0.317
13800,0.02157,-0.11980,-0.01987,0.317
13900,0.02227,-0.11899,-0.01929,0.319
14000,0.02405,-0.11869,-0.01964,0.318
14100,0.02470,-0.11855,-0.01976,0.317
14200,0.02457,-0.11783,-0.01983,0.317
14300,0.02495,-0.11576,-0.01962,0.318
14400,0.02480,-0.11496,-0.01939,0.318
14500,0.02443,-0.11495,-0.01977,0.319
14600,0.02423,-0.11409,-0.01939,0.318
14700,0.02495,-0.11383,-0.01919,0.319
14800,0.02649,-0.11345,-0.01869,0.319
14900,0.02767,-0.11369,-0.01866,0.320
15000,0.02749,-0.11298,-0.01884,0.320
15100,0.02798,-0.11136,-0.01841,0.320
15200,0.02901,-0.11207,-0.01809,0.321
15300,0.02991,-0.11278,-0.01847,0.321
15400,0.03028,-0.11104,-0.01890,0.320
15500,0.02962,-0.11153,-0.01863,0.319
15600,0.02973,-0.11167,-0.01901,0.319
15700,0.03090,-0.11175,-0.01936,0.319
15800,0.03159,-0.11206,-0.01955,0.318
15900,0.03267,-0.11269,-0.01971,0.318
16000,0.03436,-0.11317,-0.01969,0.319
16100,0.03393,-0.11309,-0.01959,0.319
16200,0.03413,-0.11276,-0.01977,0.318
16300,0.03440,-0.11139,-0.01956,0.319
16400,0.03488,-0.11166,-0.01934,0.320
16500,0.03452,-0.11126,-0.01901,0.320
16600,0.03505,-0.11039,-0.01901,0.322
16700,0.03549,-0.11079,-0.01856,0.322
16800,0.03539,-0.11106,-0.01905,0.321
16900,0.03622,-0.11171,-0.01946,0.321
17000,0.03700,-0.11112,-0.01974,0.319
17100,0.03612,-0.11019,-0.02017,0.319
17200,0.03575,-0.11058,-0.02038,0.318
17300,0.03773,-0.11156,-0.02015,0.318
17400,0.03783,-0.11160,-0.02030,0.318
17500,0.03827,-0.11246,-0.02021,0.318
17600,0.03927,-0.11352,-0.02080,0.319
17700,0.03924,-0.11418,-0.02078,0.319
17800,0.03849,-0.11447,-0.02063,0.320
17900,0.03894,-0.11438,-0.02035,0.321
18000,0.04127,-0.11375,-0.02031,0.321
18100,0.04233,-0.11263,-0.02017,0.321
18200,0.04290,-0.11393,-0.02055,0.323
18300,0.04324,-0.11414,-0.02054,0.324
18400,0.04470,-0.11497,-0.02090,0.325
18500,0.04560,-0.11456,-0.02102,0.326
18600,0.04676,-0.11467,-0.02073,0.326
18700,0.04675,-0.11431,-0.02094,0.326
18800,0.04680,-0.11421,-0.02067,0.326
18900,0.04642,-0.11417,-0.02093,0.327
19000,0.04623,-0.11309,-0.02130,0.326
19100,0.04673,-0.11271,-0.02150,0.328
19200,0.04576,-0.11203,-0.02115,0.327
19300,0.04380,-0.11204,-0.02054,0.329
19400,0.04261,-0.11246,-0.01996,0.330
19500,0.04233,-0.11364,-0.01990,0.330
19600,0.04232,-0.11317,-0.01994,0.330
19700,0.04270,-0.11394,-0.02026,0.329
19800,0.04397,-0.11442,-0.02008,0.327
19900,0.04404,-0.11468,-0.01998,0.327
20000,0.04476,-0.11384,-0.01997,0.327
20100,0.04311,-0.11336,-0.01978,0.327
20200,0.04242,-0.11318,-0.01949,0.327
20300,0.04224,-0.11317,-0.01944,0.327
20400,0.04378,-0.11330,-0.01965,0.326
20500,0.04366,-0.11284,-0.01993,0.326
20600,0.04368,-0.11282,-0.01954,0.326
20700,0.04305,-0.11278,-0.01924,0.325
20800,0.04281,-0.11314,-0.01928,0.325
20900,0.04238,-0.11297,-0.01897,0.325
21000,0.04033,-0.11409,-0.01841,0.324
21100,0.03957,-0.11574,-0.01844,0.324
21200,0.03894,-0.11718,-0.01841,0.323
21300,0.03728,-0.11803,-0.01864,0.323
21400,0.03697,-0.11849,-0.01838,0.322
21500,0.03709,-0.11865,-0.01832,0.321
21600,0.03718,-0.11802,-0.01825,0.321
21700,0.03636,-0.11860,-0.01851,0.321
21800,0.03554,-0.11924,-0.01865,0.322
21900,0.03667,-0.12041,-0.01758,0.322
22000,0.03569,-0.12038,-0.01781,0.323
22100,0.03496,-0.12033,-0.01788,0.323
22200,0.03432,-0.11942,-0.01828,0.323
22300,0.03322,-0.11853,-0.01788,0.324
22400,0.03247,-0.11784,-0.01809,0.325
22500,0.03115,-0.11803,-0.01773,0.326
22600,0.03021,-0.11831,-0.01770,0.326
22700,0.02974,-0.11905,-0.01747,0.326
22800,0.02887,-0.12010,-0.01777,0.325
22900,0.02723,-0.12061,-0.01755,0.326
23000,0.02590,-0.12059,-0.01741,0.326
23100,0.02502,-0.12046,-0.01708,0.326
23200,0.02522,-0.12100,-0.01701,0.326
23300,0.02529,-0.12146,-0.01682,0.326
23400,0.02545,-0.12227,-0.01668,0.327
23500,0.02433,-0.12260,-0.01660,0.327
23600,0.02575,-0.12372,-0.01664,0.326
23700,0.02610,-0.12368,-0.01641,0.324
23800,0.02571,-0.12421,-0.01642,0.324
23900,0.02450,-0.12494,-0.01602,0.324
24000,0.02290,-0.12547,-0.01529,0.326
24100,0.02198,-0.12576,-0.01463,0.327
24200,0.02325,-0.12701,-0.01435,0.327
24300,0.02373,-0.12975,-0.01468,0.327
24400,0.02370,-0.12906,-0.01477,0.327
24500,0.02479,-0.12888,-0.01429,0.327
24600,0.02491,-0.12939,-0.01451,0.328
24700,0.02491,-0.12895,-0.01458,0.327
24800,0.02392,-0.12826,-0.01469,0.326
24900,0.02239,-0.12816,-0.01475,0.326
25000,0.02285,-0.12859,-0.01463,0.326
25100,0.02223,-0.12995,-0.01452,0.327
25200,0.02095,-0.13027,-0.01480,0.327
25300,0.01971,-0.13011,-0.01414,0.327
25400,0.01973,-0.13164,-0.01392,0.328
25500,0.01933,-0.13102,-0.01424,0.328
25600,0.01901,-0.13059,-0.01404,0.329
25700,0.01790,-0.13077,-0.01435,0.330
25800,0.01725,-0.13063,-0.01406,0.331
25900,0.01661,-0.13041,-0.01404,0.331
26000,0.01522,-0.13047,-0.01394,0.332
26100,0.01578,-0.13106,-0.01440,0.331
26200,0.01522,-0.13164,-0.01433,0.331
26300,0.01432,-0.13298,-0.01479,0.331
26400,0.01204,-0.13254,-0.01516,0.331
26500,0.01126,-0.13268,-0.01515,0.329
26600,0.01033,-0.13316,-0.01488,0.328
26700,0.00947,-0.13279,-0.01497,0.328
26800,0.00820,-0.13379,-0.01448,0.329
26900,0.00688,-0.13449,-0.01467,0.329
27000,0.00748,-0.13565,-0.01455,0.330
