i,word,power,danger
0,great,0.531,-0.204
0,dead,-0.467,0.279
0,marry,0.449,-0.096
1,hero,0.641,-0.091
1,rich,0.544,-0.171
1,fooled,-0.319,0.446
2,mother,0.333,-0.366
2,may,-0.192,-0.315
2,know,0.213,-0.279
3,famous,0.615,-0.095
3,clever,0.293,-0.378
3,heaven,0.214,-0.361
4,glory,0.565,-0.149
4,father,0.310,-0.327
4,alive,0.390,-0.124
5,avenge,0.005,0.564
5,punish,0.008,0.535
5,feast,0.476,-0.184
6,fighting,0.285,0.428
6,death,-0.149,0.490
6,beating,-0.028,0.480
7,destruction,0.088,0.588
7,wise,0.330,-0.430
7,honesty,0.340,-0.368
8,losing,-0.323,0.423
8,wickedness,-0.166,0.493
8,knowledge,0.426,-0.282
9,worse,-0.320,0.446
9,dead,-0.467,0.279
9,died,-0.292,0.443
10,marriage,0.440,-0.111
10,fine,0.143,-0.406
10,troublesome,0.011,0.424
11,fear,-0.200,0.534
11,hate,-0.140,0.544
11,harassing,-0.050,0.530
12,perfection,0.621,-0.088
12,marry,0.449,-0.096
12,may,-0.192,-0.315
13,celebrate,0.638,-0.040
13,waste,-0.453,0.325
13,mother,0.333,-0.366
14,violence,0.147,0.625
14,cruel,-0.092,0.521
14,hope,0.298,-0.425
15,scandalous,0.053,0.547
15,fight,0.415,0.244
15,folly,-0.097,0.452
16,great,0.531,-0.204
16,badly,-0.363,0.306
16,small,-0.395,-0.250
17,wicked,0.055,0.474
17,alone,-0.448,-0.121
17,father,0.310,-0.327
18,succeeding,0.557,-0.075
18,coward,-0.457,0.266
18,fool,-0.395,0.272
19,worse,-0.320,0.446
19,wise,0.330,-0.430
19,death,-0.149,0.490
20,life,0.497,-0.209
20,home,0.099,-0.413
20,delayed,-0.366,0.207
21,goddess,0.491,-0.206
21,ill,-0.473,0.234
21,lost,-0.327,0.315
22,peace,0.136,-0.550
22,waste,-0.453,0.325
22,kind,0.169,-0.476
23,poison,-0.031,0.484
23,captain,0.436,0.088
23,friends,0.309,-0.298
24,kill,0.158,0.638
24,treasure,0.489,-0.232
24,mother,0.333,-0.366
25,god,0.416,-0.158
25,faithful,0.205,-0.390
25,closed,-0.422,-0.051
26,poor,-0.538,0.133
26,gone,-0.457,-0.049
26,father,0.310,-0.327
27,dead,-0.467,0.279
27,hope,0.298,-0.425
27,wicked,0.055,0.474
28,fear,-0.200,0.534
28,worrying,-0.254,0.491
28,crying,-0.287,0.379
29,water,-0.076,-0.488
29,sun,0.271,-0.334
29,darkness,-0.209,0.355
30,goddess,0.491,-0.206
30,sleep,-0.203,-0.448
30,drowsiness,-0.408,-0.046
31,together,0.249,-0.338
31,words,-0.051,-0.349
31,know,0.213,-0.279
32,blue,-0.252,-0.365
32,white,-0.100,-0.394
32,aloft,0.219,-0.275
33,twisted,-0.238,0.465
33,immortal,0.488,-0.041
33,book,0.088,-0.414
34,earthquake,0.219,0.619
34,sacrifice,0.038,0.442
34,heaven,0.214,-0.361
35,excellent,0.543,-0.264
35,shy,-0.542,-0.096
35,truth,0.321,-0.402
36,company,0.382,-0.333
36,assured,0.289,-0.382
36,ashamed,-0.326,0.298
37,soft,-0.218,-0.421
37,father,0.310,-0.327
37,cup,-0.297,-0.324
38,feast,0.476,-0.184
38,king,0.463,0.020
38,god,0.416,-0.158
39,happy,0.558,-0.188
39,rest,-0.101,-0.532
39,respect,0.325,-0.405
40,knight,0.354,-0.229
40,likewise,-0.196,-0.312
40,sail,-0.203,-0.284
41,courage,0.526,-0.067
41,unhappy,-0.443,0.266
41,good,0.180,-0.406
42,battle,0.412,0.420
42,dead,-0.467,0.279
42,pleased,0.455,-0.272
43,sorrow,-0.593,0.127
43,brave,0.589,-0.054
43,great,0.531,-0.204
44,valiant,0.599,-0.089
44,kind,0.169,-0.476
44,fight,0.415,0.244
45,council,0.179,-0.418
45,purpose,0.370,-0.181
45,talk,0.160,-0.343
46,quarrel,0.009,0.576
46,wise,0.330,-0.430
46,sunset,-0.088,-0.465
47,anger,0.122,0.499
47,fool,-0.395,0.272
47,wait,-0.467,-0.040
48,rest,-0.101,-0.532
48,cruel,-0.092,0.521
48,water,-0.076,-0.488
49,peace,0.136,-0.550
49,stormy,0.045,0.514
49,forward,0.325,-0.320
50,danger,0.136,0.577
50,heaven,0.214,-0.361
50,friend,0.213,-0.351
51,death,-0.149,0.490
51,safe,0.293,-0.410
51,lost,-0.327,0.315
52,murderer,0.084,0.678
52,fearful,-0.377,0.280
52,false,-0.423,0.198
53,happiness,0.593,-0.158
53,vengeance,0.165,0.591
53,ill,-0.473,0.234
54,great,0.531,-0.204
54,fighting,0.285,0.428
54,kind,0.169,-0.476
55,fortune,0.592,-0.133
55,treachery,-0.067,0.527
55,hope,0.298,-0.425
56,destruction,0.088,0.588
56,immortal,0.488,-0.041
56,talk,0.160,-0.343
57,kill,0.158,0.638
57,die,-0.281,0.512
57,dead,-0.467,0.279
58,natural,-0.020,-0.520
58,wickedness,-0.166,0.493
58,wicked,0.055,0.474
59,burnt,-0.211,0.443
59,good,0.180,-0.406
59,home,0.099,-0.413
60,evil,-0.040,0.560
60,died,-0.292,0.443
60,wait,-0.467,-0.040
61,wrecked,-0.313,0.377
61,small,-0.395,-0.250
61,protected,0.269,-0.331
62,murderer,0.084,0.678
62,mother,0.333,-0.366
62,celebrated,0.468,-0.129
63,dangerous,0.086,0.658
63,treasure,0.489,-0.232
63,property,0.207,-0.353
64,excellent,0.543,-0.264
64,terrible,0.023,0.563
64,truth,0.321,-0.402
65,water,-0.076,-0.488
65,festival,0.437,-0.117
65,order,0.269,-0.330
66,poor,-0.538,0.133
66,immortal,0.488,-0.041
66,unable,-0.425,0.225
67,comfortable,0.032,-0.542
67,sleep,-0.203,-0.448
67,friend,0.213,-0.351
68,rest,-0.101,-0.532
68,pleased,0.455,-0.272
68,friendship,0.293,-0.431
69,hero,0.641,-0.091
69,brave,0.589,-0.054
69,great,0.531,-0.204
70,good,0.180,-0.406
70,sacrifice,0.038,0.442
70,grace,0.081,-0.430
71,drunk,-0.190,0.417
71,home,0.099,-0.413
71,lid,-0.331,-0.218
72,queen,0.539,-0.124
72,dead,-0.467,0.279
72,couch,-0.372,-0.369
73,goddess,0.491,-0.206
73,foremost,0.456,-0.088
73,plain,-0.296,-0.238
74,excellent,0.543,-0.264
74,water,-0.076,-0.488
74,burnt,-0.211,0.443
75,pleasure,0.465,-0.144
75,gold,0.446,-0.181
75,flower,-0.176,-0.443
76,bleeding,-0.097,0.479
76,delight,0.409,-0.204
76,down,-0.398,0.084
77,rest,-0.101,-0.532
77,lovely,0.361,-0.322
77,small,-0.395,-0.250
78,shirt,-0.246,-0.371
78,god,0.416,-0.158
78,worthy,0.293,-0.323
79,forward,0.325,-0.320
79,sun,0.271,-0.334
79,darkness,-0.209,0.355
80,entertained,0.422,-0.183
80,completed,0.293,-0.320
80,book,0.088,-0.414
81,valiant,0.599,-0.089
81,warrior,0.453,0.298
81,low,-0.526,-0.059
82,merry,0.540,-0.176
82,heaven,0.214,-0.361
82,reigning,0.419,-0.021
83,angry,0.045,0.505
83,friends,0.309,-0.298
83,close,-0.390,-0.025
84,peace,0.136,-0.550
84,fool,-0.395,0.272
84,feed,0.294,-0.264
85,admired,0.464,-0.247
85,water,-0.076,-0.488
85,hearts,0.364,-0.255
86,poor,-0.538,0.133
