T,power,danger,structure,coverage
5000,0.03219,-0.13149,-0.00444,0.291
5100,0.03147,-0.13183,-0.00462,0.291
5200,0.03107,-0.13138,-0.00472,0.291
5300,0.03264,-0.13119,-0.00475,0.292
5400,0.03338,-0.13177,-0.00467,0.292
5500,0.03394,-0.13171,-0.00429,0.292
5600,0.03474,-0.13167,-0.00445,0.292
5700,0.03404,-0.13212,-0.00466,0.291
5800,0.03397,-0.13119,-0.00447,0.291
5900,0.03324,-0.13019,-0.00474,0.290
6000,0.03333,-0.13016,-0.00491,0.290
6100,0.03362,-0.12995,-0.00459,0.290
6200,0.03355,-0.12984,-0.00450,0.291
6300,0.03410,-0.12970,-0.00473,0.291
6400,0.03393,-0.12895,-0.00521,0.292
6500,0.03487,-0.13006,-0.00558,0.292
6600,0.03532,-0.12997,-0.00502,0.291
6700,0.03445,-0.13014,-0.00480,0.292
6800,0.03428,-0.13076,-0.00480,0.293
6900,0.03469,-0.13081,-0.00425,0.293
7000,0.03511,-0.12973,-0.00420,0.294
7100,0.03417,-0.12997,-0.00404,0.294
7200,0.03393,-0.13175,-0.00391,0.294
7300,0.03412,-0.13195,-0.00382,0.294
7400,0.03299,-0.13173,-0.00370,0.295
7500,0.03316,-0.13222,-0.00349,0.295
7600,0.03191,-0.13168,-0.00376,0.294
7700,0.03163,-0.13060,-0.00393,0.293
7800,0.03048,-0.13121,-0.00372,0.292
7900,0.03084,-0.13109,-0.00322,0.291
8000,0.03072,-0.12988,-0.00335,0.288
8100,0.03127,-0.12968,-0.00347,0.289
8200,0.03340,-0.13040,-0.00312,0.287
8300,0.03291,-0.13076,-0.00377,0.287
8400,0.03289,-0.13108,-0.00320,0.288
8500,0.03267,-0.13106,-0.00337,0.286
8600,0.03149,-0.13137,-0.00301,0.286
8700,0.03058,-0.13137,-0.00236,0.285
8800,0.03056,-0.13223,-0.00204,0.285
8900,0.03047,-0.13238,-0.00202,0.286
9000,0.02966,-0.13185,-0.00231,0.286
9100,0.02940,-0.13024,-0.00233,0.287
9200,0.02894,-0.12993,-0.00266,0.286
9300,0.02916,-0.13029,-0.00217,0.287
9400,0.02993,-0.13106,-0.00215,0.287
9500,0.02937,-0.13101,-0.00185,0.287
9600,0.02908,-0.13107,-0.00188,0.287
9700,0.02938,-0.13148,-0.00170,0.286
9800,0.02971,-0.13255,-0.00138,0.286
9900,0.02957,-0.13294,-0.00121,0.286
10000,0.03024,-0.13440,-0.00112,0.287
10100,0.02903,-0.13540,-0.00143,0.286
10200,0.02908,-0.13522,-0.00109,0.287
10300,0.02835,-0.13463,-0.00093,0.288
10400,0.02730,-0.13405,-0.00079,0.287
10500,0.02655,-0.13378,-0.00038,0.285
10600,0.02751,-0.13379,-0.00022,0.284
10700,0.02702,-0.13369,-0.00001,0.284
10800,0.02722,-0.13468,0.00011,0.284
10900,0.02746,-0.13532,0.00039,0.283
11000,0.02758,-0.13590,0.00034,0.283
11100,0.02643,-0.13557,-0.00012,0.283
11200,0.02709,-0.13521,-0.00018,0.283
11300,0.02758,-0.13458,-0.00039,0.281
11400,0.02723,-0.13471,0.00018,0.281
11500,0.02668,-0.13518,0.00019,0.281
11600,0.02693,-0.13648,0.00032,0.281
11700,0.02693,-0.13624,0.00037,0.281
11800,0.02790,-0.13726,0.00022,0.282
11900,0.02799,-0.13795,0.00015,0.282
12000,0.02784,-0.13816,-0.00004,0.282
12100,0.02697,-0.13809,0.00017,0.281
12200,0.02538,-0.13745,-0.00001,0.281
12300,0.02468,-0.13757,-0.00005,0.282
12400,0.02459,-0.13676,0.00023,0.281
12500,0.02506,-0.13580,0.00046,0.280
12600,0.02619,-0.13571,0.00067,0.280
12700,0.02646,-0.13482,0.00060,0.280
12800,0.02649,-0.13554,0.00053,0.279
12900,0.02583,-0.13455,0.00018,0.279
13000,0.02642,-0.13429,0.00016,0.279
13100,0.02737,-0.13354,0.00013,0.279
13200,0.02751,-0.13252,0.00063,0.279
13300,0.02805,-0.13207,0.00059,0.279
13400,0.02681,-0.13184,0.00047,0.280
13500,0.02764,-0.13233,0.00081,0.280
13600,0.02696,-0.13258,0.00095,0.278
13700,0.02803,-0.13278,0.00066,0.279
13800,0.02808,-0.13277,0.00054,0.280
13900,0.02755,-0.13285,0.00064,0.280
14000,0.02745,-0.13332,0.00051,0.280
14100,0.02700,-0.13272,0.00032,0.280
14200,0.02656,-0.13301,0.00090,0.278
14300,0.02711,-0.13282,0.00103,0.278
14400,0.02595,-0.13256,0.00100,0.278
14500,0.02689,-0.13161,0.00103,0.278
14600,0.02669,-0.13157,0.00135,0.278
14700,0.02644,-0.13122,0.00158,0.278
14800,0.02774,-0.13093,0.00150,0.279
14900,0.02666,-0.13067,0.00134,0.279
15000,0.02692,-0.13170,0.00145,0.280
15100,0.02668,-0.13056,0.00138,0.280
15200,0.02637,-0.13110,0.00160,0.281
15300,0.02571,-0.13063,0.00154,0.281
15400,0.02424,-0.13078,0.00143,0.281
15500,0.02307,-0.13009,0.00133,0.281
15600,0.02185,-0.12910,0.00148,0.282
15700,0.02128,-0.12997,0.00160,0.282
15800,0.02080,-0.12974,0.00173,0.283
15900,0.01998,-0.13002,0.00202,0.283
16000,0.02019,-0.13035,0.00211,0.284
16100,0.01927,-0.13078,0.00236,0.284
16200,0.01967,-0.13143,0.00228,0.283
16300,0.01962,-0.13064,0.00245,0.284
16400,0.01990,-0.13146,0.00228,0.284
16500,0.02029,-0.13114,0.00250,0.283
16600,0.02035,-0.13073,0.00218,0.284
16700,0.01994,-0.13022,0.00212,0.285
16800,0.01952,-0.12897,0.00276,0.284
16900,0.01871,-0.12920,0.00239,0.284
17000,0.01790,-0.12933,0.00224,0.284
17100,0.01854,-0.12929,0.00195,0.285
17200,0.01894,-0.12706,0.00239,0.285
17300,0.01864,-0.12675,0.00262,0.285
17400,0.01978,-0.12705,0.00283,0.284
17500,0.01892,-0.12676,0.00237,0.284
17600,0.01867,-0.12706,0.00236,0.285
17700,0.01995,-0.12844,0.00251,0.286
17800,0.02117,-0.12809,0.00223,0.287
17900,0.02043,-0.12798,0.00183,0.287
18000,0.02046,-0.12845,0.00198,0.288
18100,0.02131,-0.12819,0.00223,0.289
18200,0.01959,-0.12854,0.00170,0.291
18300,0.01979,-0.12850,0.00161,0.291
18400,0.01925,-0.12803,0.00112,0.291
18500,0.01943,-0.12859,0.00113,0.291
18600,0.01955,-0.12851,0.00112,0.291
18700,0.02017,-0.12890,0.00087,0.291
18800,0.01924,-0.12845,0.00065,0.291
18900,0.01908,-0.12753,0.00049,0.291
19000,0.01857,-0.12668,0.00036,0.291
19100,0.01871,-0.12740,0.00034,0.291
19200,0.01880,-0.12725,0.00066,0.291
19300,0.01816,-0.12565,0.00052,0.292
19400,0.01684,-0.12481,0.00055,0.292
19500,0.01630,-0.12448,-0.00006,0.293
19600,0.01545,-0.12384,0.00040,0.292
19700,0.01443,-0.12325,0.00008,0.293
19800,0.01402,-0.12268,-0.00013,0.293
19900,0.01387,-0.12201,-0.00003,0.293
20000,0.01335,-0.12115,0.00027,0.294
20100,0.01301,-0.11935,0.00016,0.293
20200,0.01280,-0.11900,-0.00029,0.292
20300,0.01210,-0.11915,-0.00055,0.292
20400,0.01288,-0.11935,-0.00081,0.293
20500,0.01198,-0.11939,-0.00091,0.294
20600,0.01054,-0.11947,-0.00057,0.295
20700,0.00966,-0.11922,-0.00058,0.296
20800,0.00917,-0.11914,-0.00048,0.297
20900,0.00968,-0.11850,-0.00079,0.297
21000,0.00941,-0.11869,-0.00051,0.297
21100,0.01048,-0.11988,0.00009,0.298
21200,0.01035,-0.12091,-0.00003,0.298
21300,0.01047,-0.12198,0.00010,0.298
21400,0.01034,-0.12257,-0.00027,0.298
21500,0.01190,-0.12412,-0.00022,0.298
21600,0.01167,-0.12384,-0.00014,0.298
21700,0.01074,-0.12449,-0.00009,0.297
21800,0.01050,-0.12410,0.00032,0.297
21900,0.01097,-0.12416,0.00071,0.296
22000,0.01083,-0.12391,0.00112,0.295
22100,0.01102,-0.12325,0.00104,0.295
22200,0.01233,-0.12354,0.00138,0.294
22300,0.01302,-0.12310,0.00155,0.294
22400,0.01449,-0.12437,0.00207,0.295
22500,0.01456,-0.12429,0.00226,0.295
22600,0.01400,-0.12397,0.00200,0.295
22700,0.01497,-0.12552,0.00229,0.295
22800,0.01523,-0.12571,0.00235,0.295
22900,0.01613,-0.12617,0.00271,0.296
23000,0.01432,-0.12653,0.00320,0.297
23100,0.01303,-0.12704,0.00359,0.297
23200,0.01358,-0.12806,0.00340,0.298
23300,0.01489,-0.12901,0.00355,0.298
23400,0.01571,-0.12954,0.00322,0.298
23500,0.01506,-0.12982,0.00300,0.299
23600,0.01543,-0.12905,0.00306,0.299
23700,0.01458,-0.12872,0.00334,0.298
23800,0.01499,-0.12852,0.00319,0.298
23900,0.01463,-0.12861,0.00282,0.300
24000,0.01426,-0.12810,0.00230,0.301
24100,0.01451,-0.12830,0.00257,0.301
24200,0.01516,-0.12844,0.00269,0.302
24300,0.01483,-0.12879,0.00239,0.302
24400,0.01539,-0.12893,0.00267,0.301
24500,0.01576,-0.12899,0.00244,0.302
24600,0.01518,-0.12950,0.00219,0.302
24700,0.01610,-0.13009,0.00165,0.303
24800,0.01632,-0.13029,0.00199,0.302
24900,0.01796,-0.13140,0.00233,0.302
25000,0.01831,-0.13170,0.00227,0.301
25100,0.01846,-0.13243,0.00230,0.302
25200,0.01830,-0.13305,0.00206,0.302
25300,0.01858,-0.13423,0.00185,0.301
25400,0.01862,-0.13536,0.00264,0.301
25500,0.01891,-0.13569,0.00234,0.301
25600,0.01938,-0.13569,0.00203,0.301
25700,0.02063,-0.13572,0.00233,0.301
25800,0.02082,-0.13662,0.00235,0.301
25900,0.02091,-0.13793,0.00229,0.302
26000,0.02059,-0.13833,0.00249,0.301
26100,0.02153,-0.13790,0.00265,0.302
26200,0.02039,-0.13718,0.00270,0.302
26300,0.01928,-0.13707,0.00276,0.302
26400,0.01936,-0.13688,0.00287,0.303
26500,0.01863,-0.13672,0.00287,0.302
26600,0.01897,-0.13742,0.00261,0.302
26700,0.02036,-0.13750,0.00277,0.301
26800,0.02038,-0.13848,0.00240,0.301
26900,0.02075,-0.13733,0.00252,0.301
27000,0.02047,-0.13722,0.00226,0.300
27100,0.02042,-0.13739,0.00272,0.301
27200,0.02011,-0.13794,0.00258,0.300
27300,0.02085,-0.13839,0.00223,0.301
27400,0.01979,-0.13881,0.00218,0.302
27500,0.02107,-0.13948,0.00229,0.301
27600,0.02169,-0.14059,0.00218,0.300
27700,0.02060,-0.14030,0.00156,0.300
27800,0.02103,-0.14069,0.00143,0.299
27900,0.02087,-0.14065,0.00153,0.299
28000,0.02146,-0.14066,0.00134,0.299
28100,0.01935,-0.14065,0.00119,0.299
28200,0.02066,-0.14020,0.00130,0.297
28300,0.02075,-0.14057,0.00172,0.297
28400,0.02163,-0.13981,0.00180,0.296
28500,0.02094,-0.13858,0.00202,0.296
28600,0.02160,-0.13838,0.00219,0.296
28700,0.02196,-0.13804,0.00223,0.295
28800,0.02234,-0.13785,0.00208,0.295
28900,0.02268,-0.13805,0.00208,0.294
29000,0.02321,-0.13946,0.00191,0.294
29100,0.02482,-0.13942,0.00200,0.294
29200,0.02502,-0.14018,0.00187,0.294
29300,0.02557,-0.14074,0.00176,0.293
29400,0.02651,-0.14032,0.00183,0.292
29500,0.02691,-0.14048,0.00204,0.292
29600,0.02810,-0.14024,0.00192,0.293
29700,0.02941,-0.13992,0.00196,0.292
29800,0.02952,-0.13899,0.00197,0.292
29900,0.02991,-0.13895,0.00179,0.291
30000,0.03184,-0.13984,0.00182,0.291
30100,0.03224,-0.14134,0.00212,0.292
30200,0.03293,-0.14147,0.00248,0.292
30300,0.03287,-0.14124,0.00251,0.292
30400,0.03220,-0.14159,0.00246,0.291
30500,0.03301,-0.14095,0.00287,0.291
30600,0.03372,-0.14112,0.00269,0.289
