word,power,danger,structure
aaaaaaah,-0.111,0.079,0.192
aaaah,-0.083,0.070,0.234
aardvark,-0.087,0.043,0.003
aback,-0.255,0.010,0.040
abacus,-0.113,-0.162,-0.107
abalone,-0.073,-0.018,0.050
abandon,-0.399,0.326,-0.028
abandoned,-0.503,0.300,0.028
abandonment,-0.434,0.208,-0.011
abashed,-0.232,0.325,0.057
abate,0.047,0.317,-0.082
abatement,-0.252,-0.038,-0.029
abba,0.016,-0.046,0.044
abbey,-0.064,-0.152,0.004
abbot,-0.134,-0.071,-0.121
abbreviate,-0.167,-0.116,0.064
abbreviation,-0.220,-0.118,-0.014
abdomen,-0.055,-0.005,-0.015
abdominal,-0.066,-0.025,0.009
abduct,0.025,0.393,-0.116
abduction,0.141,0.662,-0.061
aberrant,-0.100,0.436,0.023
aberration,-0.096,0.486,0.050
abeyance,-0.231,0.121,0.068
abhor,-0.247,0.335,-0.020
abhorrence,-0.136,0.364,-0.004
abhorrent,-0.034,0.367,0.025
abide,0.146,-0.189,-0.156
abiding,0.246,-0.323,-0.125
ability,0.420,-0.251,-0.033
abject,-0.090,0.164,0.037
ablation,-0.041,0.059,-0.039
ablaze,0.054,0.428,0.048
able,0.367,-0.194,-0.077
abnormal,-0.269,0.326,0.015
abnormality,-0.214,0.397,-0.030
aboard,-0.018,-0.293,-0.010
abode,-0.035,-0.223,-0.050
abolish,0.050,0.118,0.018
abolition,0.024,0.260,-0.001
abominable,-0.092,0.433,-0.043
abominate,-0.110,0.411,0.105
abomination,-0.075,0.482,-0.075
aboriginal,-0.030,-0.011,-0.093
abort,-0.135,0.376,-0.016
abortion,-0.236,0.479,0.097
abortive,-0.232,0.477,0.106
abound,0.228,-0.147,-0.032
abovementioned,-0.070,-0.168,-0.097
abracadabra,0.101,-0.037,0.200
abrasion,-0.046,0.129,0.046
abrasive,0.066,0.158,-0.056
abreast,0.024,-0.180,-0.014
abroad,0.178,-0.059,0.095
abrogate,-0.013,0.136,-0.142
abrupt,0.071,0.387,0.033
abruptly,0.063,0.396,0.010
abscess,-0.305,0.210,-0.088
absence,-0.469,0.058,-0.149
absent,-0.572,0.025,-0.042
absentee,-0.373,0.065,-0.067
absenteeism,-0.260,-0.093,-0.071
absinthe,-0.032,0.019,0.023
absolute,0.254,0.002,-0.207
absolution,0.226,-0.148,-0.010
absolve,0.183,-0.161,-0.050
absorb,0.135,0.070,-0.100
absorbed,-0.005,-0.012,-0.034
absorbent,0.133,-0.101,-0.183
absorbing,0.047,0.004,-0.064
absorption,-0.022,-0.135,0.047
abstain,-0.165,0.001,-0.067
abstention,-0.220,0.004,-0.244
abstinence,-0.223,0.096,-0.125
abstract,-0.171,-0.101,-0.104
abstraction,-0.027,-0.018,-0.065
absurd,-0.237,0.324,0.085
absurdity,-0.376,0.286,0.019
abundance,0.501,-0.080,0.010
abundant,0.459,-0.258,0.089
abuse,-0.058,0.566,0.020
abused,-0.252,0.593,0.157
abusive,0.054,0.552,-0.006
abutment,-0.028,-0.157,-0.208
aby,-0.176,0.044,0.010
abysmal,0.047,0.330,-0.072
