label,T
II,885
III,1696
IV,3417
V,4485
VI,5453
VII,7817
VIII,9823
IX,11764
X,13495
XI,15726
XII,17325
XV,20826
XVI,22518
XVII,25901
XVIII,27179
XIX,32373
XX,34286
XXI,35940
XXII,37952
XXIII,39708
XXIV,41330
XXV,43260
XXVI,44797
XXVII,47133
XXVIII,48395
XXIX,49873
XXX,52257
XXXI,53511
XXXII,55067
XXXIII,56576
XXXIV,58434
XXXV,60539
XXXVI,63536
XXXVII,65551
XXXVIII,66936
XXXIX,67993
XL,69625
XLI,71327
XLII,73608
XLIII,75441
XLIV,80289
XLV,82642
XLVII,87404
XLVIII,91488
XLIX,93757
L,96024
LI,98235
LII,100315
LIII,103351
LIV,106294
LV,107907
LVI,110235
LVII,112977
LVIII,114641
LIX,117086
LX,119566
LXI,121156
