i,word,power,danger
0,angry,0.045,0.505
0,mistake,-0.393,0.253
1,agreeable,0.344,-0.285
1,pride,0.430,-0.058
2,fortune,0.592,-0.133
2,proud,0.568,-0.140
3,quality,0.425,-0.311
3,nature,0.130,-0.470
4,rich,0.544,-0.171
4,great,0.531,-0.204
5,greatest,0.539,-0.145
5,worth,0.471,-0.246
6,admiration,0.437,-0.272
6,love,0.383,-0.341
7,opportunity,0.576,-0.134
7,poor,-0.538,0.133
8,natural,-0.020,-0.520
8,safe,0.293,-0.410
9,together,0.249,-0.338
9,endeavor,0.402,0.059
10,secure,0.413,-0.314
10,command,0.355,0.268
11,company,0.382,-0.333
11,good,0.180,-0.406
12,success,0.758,-0.050
12,happiness,0.593,-0.158
13,scarcely,-0.496,0.227
13,life,0.497,-0.209
14,perfect,0.493,-0.351
14,intelligent,0.493,-0.258
15,pleasing,0.392,-0.324
15,easy,-0.056,-0.480
16,afraid,-0.297,0.533
16,grow,0.446,-0.209
17,energetic,0.639,0.020
17,energy,0.595,-0.150
18,cool,0.414,-0.239
18,familiar,0.204,-0.406
19,excellence,0.580,-0.231
19,genius,0.518,-0.144
20,glad,0.516,-0.127
20,pleasure,0.465,-0.144
21,amusement,0.594,-0.065
21,advantage,0.490,-0.253
22,superior,0.562,-0.063
22,agree,0.120,-0.457
23,extremely,0.503,0.144
23,hopes,0.354,-0.293
24,happiness,0.593,-0.158
24,cruel,-0.092,0.521
25,wonder,0.540,-0.119
25,injured,-0.265,0.417
26,nothingness,-0.594,-0.090
26,great,0.531,-0.204
27,joy,0.606,-0.111
27,admiration,0.437,-0.272
28,perfect,0.493,-0.351
28,charming,0.475,-0.180
29,fortune,0.592,-0.133
29,deficiency,-0.506,0.208
30,family,0.281,-0.413
30,learn,0.472,-0.128
31,worthless,-0.497,0.232
31,felicity,0.515,-0.146
32,hope,0.298,-0.425
32,disconcerted,-0.299,0.358
33,foolish,-0.492,-0.052
33,clever,0.293,-0.378
34,smart,0.559,-0.202
34,mother,0.333,-0.366
35,pleasure,0.465,-0.144
35,library,-0.008,-0.458
36,danger,0.136,0.577
36,quarrel,0.009,0.576
37,wonder,0.540,-0.119
37,unlucky,-0.481,0.224
38,extort,-0.016,0.552
38,cheerful,0.491,-0.194
39,lucky,0.494,-0.244
39,scarcely,-0.496,0.227
40,dangerous,0.086,0.658
40,sore,-0.330,0.385
41,afraid,-0.297,0.533
41,die,-0.281,0.512
42,dirt,-0.384,0.269
42,father,0.310,-0.327
43,company,0.382,-0.333
43,alone,-0.448,-0.121
44,incredible,0.610,-0.037
44,great,0.531,-0.204
45,glad,0.516,-0.127
45,ill,-0.473,0.234
46,extraordinary,0.603,-0.167
46,fear,-0.200,0.534
47,violent,0.090,0.574
47,absent,-0.572,0.025
48,family,0.281,-0.413
48,little,-0.428,-0.163
49,superior,0.562,-0.063
49,disliked,-0.415,0.312
50,scarcely,-0.496,0.227
50,less,-0.520,-0.026
51,excellent,0.543,-0.264
51,wild,0.289,0.438
52,hope,0.298,-0.425
52,dirty,-0.431,0.209
53,afraid,-0.297,0.533
53,independence,0.572,-0.157
54,adventure,0.530,-0.047
54,low,-0.526,-0.059
55,vulgar,-0.095,0.520
55,tenderness,0.020,-0.485
56,poorly,-0.373,0.376
56,pleasant,0.253,-0.441
57,great,0.531,-0.204
57,pleasure,0.465,-0.144
58,idle,-0.600,-0.014
58,benefit,0.386,-0.334
59,neglect,-0.447,0.349
59,kind,0.169,-0.476
60,little,-0.428,-0.163
60,sister,0.168,-0.420
61,amazing,0.616,-0.047
61,extremely,0.503,0.144
62,scarcely,-0.496,0.227
62,truth,0.321,-0.402
63,knowledge,0.426,-0.282
63,greatly,0.497,-0.021
64,wonder,0.540,-0.119
64,elegance,0.393,-0.360
65,sex,0.508,0.092
65,injustice,-0.127,0.476
66,worse,-0.320,0.446
66,satisfied,0.367,-0.317
67,sick,-0.494,0.223
67,miserable,-0.463,0.277
68,mother,0.333,-0.366
68,pleasure,0.465,-0.144
69,danger,0.136,0.577
69,illness,-0.306,0.428
70,great,0.531,-0.204
70,ill,-0.473,0.234
