T,power,danger,structure,coverage
5000,0.07247,-0.14159,0.00807,0.299
5100,0.07152,-0.14073,0.00861,0.299
5200,0.07011,-0.14078,0.00860,0.299
5300,0.06942,-0.14055,0.00875,0.299
5400,0.07036,-0.13968,0.00863,0.299
5500,0.06935,-0.13905,0.00817,0.299
5600,0.06827,-0.13869,0.00822,0.298
5700,0.06884,-0.13880,0.00814,0.299
5800,0.07004,-0.13934,0.00803,0.298
5900,0.06947,-0.14005,0.00815,0.297
6000,0.07030,-0.14018,0.00813,0.298
6100,0.07128,-0.14123,0.00816,0.297
6200,0.07207,-0.14203,0.00803,0.297
6300,0.07319,-0.14300,0.00794,0.297
6400,0.07430,-0.14360,0.00756,0.298
6500,0.07417,-0.14303,0.00732,0.299
6600,0.07388,-0.14199,0.00726,0.298
6700,0.07426,-0.14191,0.00683,0.299
6800,0.07313,-0.14213,0.00668,0.298
6900,0.07202,-0.14141,0.00593,0.298
7000,0.07185,-0.14133,0.00619,0.298
7100,0.07142,-0.14161,0.00580,0.299
7200,0.07173,-0.14109,0.00574,0.300
7300,0.07104,-0.14016,0.00587,0.299
7400,0.07164,-0.13992,0.00577,0.299
7500,0.07345,-0.14056,0.00587,0.299
7600,0.07382,-0.14087,0.00577,0.299
7700,0.07418,-0.14114,0.00546,0.299
7800,0.07479,-0.14223,0.00538,0.298
7900,0.07406,-0.14222,0.00520,0.299
8000,0.07386,-0.14185,0.00484,0.299
8100,0.07391,-0.14200,0.00457,0.300
8200,0.07424,-0.14238,0.00459,0.300
8300,0.07443,-0.14325,0.00439,0.301
8400,0.07357,-0.14425,0.00427,0.301
8500,0.07238,-0.14355,0.00401,0.301
8600,0.07193,-0.14291,0.00383,0.301
8700,0.07149,-0.14298,0.00336,0.301
8800,0.07148,-0.14262,0.00337,0.301
8900,0.07029,-0.14278,0.00346,0.302
9000,0.06892,-0.14283,0.00381,0.303
9100,0.06947,-0.14218,0.00364,0.304
9200,0.06839,-0.14196,0.00380,0.303
9300,0.06661,-0.14204,0.00394,0.303
9400,0.06632,-0.14168,0.00401,0.303
9500,0.06554,-0.14078,0.00370,0.303
9600,0.06516,-0.14097,0.00375,0.304
9700,0.06438,-0.14042,0.00337,0.304
9800,0.06446,-0.14017,0.00332,0.305
9900,0.06367,-0.13947,0.00359,0.306
