IsAccepted,Publication,DeputyEditorGender,AssociateEditorGender,FirstAuthorGender,CorrespondingAuthorPrestige,CorrespondingAuthorGender,CorrespondingAuthorRegion,NumberOfAuthors,BORERating1,BORERating2,BOREConfidence1,BOREConfidence2,BOREExists1,BOREExists2,BOREGender1,BOREGender2,Evaluation1,Evaluation2,ReviewSentiment1,ReviewSentiment2,ReviewSentimentTrajectory1,ReviewSentimentTrajectory2,ReviewLength1,ReviewLength2,Topic100,Topic30,Topic10,ReviewExists1,ReviewExists2,ReviewerGender1,ReviewerGender2,ReviewerPrestige1,ReviewerPrestige2
0,Science Advances,M,Null,M,[5-6],M,U.S.+Canada,10+,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,21,25,3,0,0,Null,Null,Null,Null
0,Science,M,Null,M,Null,M,Other,[1-5],Null,Null,Null,Null,0.0,0.0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,38,21,5,0,0,Null,Null,Null,Null
0,Science,M,Null,M,[7-10],M,Europe,[1-5],Null,Null,Null,Null,0.0,0.0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,33,23,4,0,0,Null,Null,Null,Null
0,Science Advances,W,M,M,Null,M,Null,[1-5],Null,Null,Null,Null,Null,Null,Null,Null,Mediocre or poor,Above average,-0.75,0.0,DF,U,0.0,-0.5,84,9,5,1,1,W,W,[5-6],[3-4]
0,Science,M,Null,M,[7-10],M,Europe,[1-5],7.0,5.0,4.0,4.0,1.0,1.0,M,M,Null,Null,Null,Null,Null,Null,Null,Null,15,6,8,0,0,Null,Null,Null,Null
0,Science,W,Null,W,[1-2],M,U.S.+Canada,10+,Null,Null,Null,Null,0.0,0.0,Null,Null,Too specialized,Above average,-0.5,1.25,UDF,DF,0.0,-0.5,80,3,2,1,1,M,M,[1-2],[1-2]
0,Science,M,Null,M,[7-10],M,Other,[6-9],9.0,Null,5.0,Null,1.0,0.0,M,Null,Above average,Above average,-1.25,-0.75,DUD,DF,0.75,0.25,42,27,7,1,1,M,W,[3-4],[3-4]
0,Science Advances,M,Null,W,[5-6],W,China,[1-5],Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,38,21,5,0,0,Null,Null,Null,Null
0,Science Advances,W,W,M,[5-6],M,China,[1-5],Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,35,12,1,0,0,Null,Null,Null,Null
1,Science,M,Null,M,[3-4],M,U.S.+Canada,[1-5],9.0,Null,5.0,Null,1.0,0.0,W,Null,Above average,Above average,1.25,1.25,UDF,DUD,1.5,0.0,26,13,3,1,1,M,W,[1-2],[3-4]
0,Science,W,Null,W,[3-4],W,U.S.+Canada,10+,Null,Null,Null,Null,0.0,0.0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,22,24,2,0,0,Null,Null,Null,Null
